| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 |  1.0023822 | 0.0146387216 |    1.59 |
|       -2.3967685 | 0.99805556 | 0.0145750512 |   1.582 |
|       -2.3796119 | 0.98708259 | 0.0142022672 |   1.575 |
|       -2.3624283 | 0.99184228 |  0.014732428 |   1.568 |
|       -2.3452542 | 0.98522903 | 0.0140244316 |   1.561 |
|       -2.3280954 | 0.98989197 | 0.0136233828 |   1.555 |
|       -2.3108841 |  1.0002132 | 0.0143229736 |   1.548 |
|       -2.2937279 |  1.0031182 | 0.0147849028 |   1.541 |
|       -2.2765756 |  1.0042899 | 0.0143443228 |   1.535 |
|       -2.2594209 | 0.99387226 | 0.0145315312 |   1.528 |
|       -2.2422617 |  1.0043373 | 0.0138195848 |   1.522 |
|       -2.2251076 | 0.99754293 | 0.0134627272 |   1.516 |
|        -2.207954 | 0.98824621 | 0.0135463396 |    1.51 |
|       -2.1907916 | 0.99854071 | 0.0133965808 |   1.503 |
|       -2.1564684 | 0.99944602 | 0.0133467224 |   1.492 |
|       -2.1393057 | 0.99508399 | 0.0135712224 |   1.486 |
|       -2.1221514 |  1.0070231 | 0.0134567056 |    1.48 |
|       -2.1049994 | 0.99759824 | 0.0133287548 |   1.474 |
|       -2.0878427 |  1.0098797 | 0.0135949352 |   1.469 |
|       -2.0706809 | 0.99525988 | 0.0134107192 |   1.463 |
|       -2.0535003 | 0.99377347 | 0.0134217524 |   1.457 |
|       -2.0363209 |   1.006929 | 0.0131495716 |   1.452 |
|       -2.0191896 | 0.99750416 | 0.0132437628 |   1.447 |
|       -2.0020402 |  1.0084572 | 0.0141378616 |   1.441 |
|       -1.9848875 |  1.0002994 | 0.0135169192 |   1.436 |
|       -1.9677348 | 0.99513041 | 0.0135639028 |   1.431 |
|       -1.9505772 |  1.0020374 | 0.0135908376 |   1.426 |
|       -1.9334253 |  0.9929465 | 0.0133615364 |   1.421 |
|       -1.9162731 |  1.0152735 | 0.0142364144 |   1.416 |
|       -1.8991183 |  1.0095709 |  0.014027398 |   1.411 |
|       -1.8819675 |  1.0030552 | 0.0139073764 |   1.406 |
|       -1.8648166 | 0.99760117 | 0.0139738104 |   1.402 |
|        -1.847663 | 0.99986039 | 0.0139202616 |   1.397 |
|       -1.8305127 |   1.003348 | 0.0139973148 |   1.392 |
|       -1.8133558 | 0.99341049 |  0.015143022 |   1.388 |
|       -1.7961718 |  1.0027721 | 0.0137454204 |   1.383 |
|       -1.7789818 | 0.99066389 | 0.0134314852 |   1.379 |
|       -1.7618224 |    1.00304 | 0.0138484036 |   1.375 |
|       -1.7446703 | 0.99953841 | 0.0136275328 |    1.37 |
|       -1.7275163 | 0.99604256 | 0.0134660424 |   1.366 |
|        -1.710335 | 0.99232565 | 0.0130232852 |   1.362 |
|       -1.6931812 |  1.0102924 | 0.0139074348 |   1.358 |
|       -1.6760198 |  1.0004499 | 0.0133622296 |   1.353 |
|       -1.6588624 | 0.99672823 | 0.0137092544 |   1.349 |
|        -1.641703 |  1.0021744 | 0.0138998584 |   1.345 |
|       -1.6245494 |   1.009201 | 0.0135052008 |   1.341 |
|       -1.6073352 | 0.99827653 | 0.0136598668 |   1.338 |
|       -1.5901794 |  1.0031687 | 0.0133133548 |   1.334 |
|       -1.5730222 | 0.99560613 | 0.0131710504 |    1.33 |
|         -1.55587 |  1.0027992 | 0.0134366552 |   1.326 |
|       -1.5387079 | 0.99266844 | 0.0131281028 |   1.322 |
|       -1.5215525 | 0.99500645 | 0.0133717844 |   1.319 |
|       -1.5043944 |  1.0045728 | 0.0134422448 |   1.315 |
|       -1.4872407 | 0.99736855 | 0.0134405996 |   1.312 |
|       -1.4700676 |  1.0119679 |   0.01378758 |   1.308 |
|       -1.4528847 |  1.0015864 |  0.013221342 |   1.305 |
|       -1.4357223 |  1.0021997 | 0.0134163228 |   1.301 |
|       -1.4185246 | 0.99400395 |    0.0132657 |   1.298 |
|       -1.4013444 |  1.0048971 | 0.0132415844 |   1.295 |
|       -1.3841855 | 0.99517602 | 0.0136032852 |   1.291 |
|       -1.3669997 |  1.0069287 | 0.0131113256 |   1.288 |
|       -1.3498463 |   1.003244 |  0.012866902 |   1.285 |
|       -1.3326628 | 0.99486595 | 0.0138040068 |   1.282 |
|       -1.3154663 |  1.0104172 | 0.0132186552 |   1.279 |
|       -1.2982878 | 0.99779146 | 0.0130006272 |   1.276 |
|       -1.2811327 | 0.99496306 |  0.012975354 |   1.273 |
|       -1.2639686 | 0.99949511 | 0.0128016324 |    1.27 |
|       -1.2468145 |  1.0022882 | 0.0127527632 |   1.267 |
|       -1.2296646 |  1.0037759 | 0.0132531108 |   1.264 |
|       -1.2125125 |  1.0043159 | 0.0127467888 |   1.261 |
|       -1.1953755 |  1.0003495 |  0.012840512 |   1.258 |
|       -1.1782241 | 0.99518216 | 0.0127379996 |   1.255 |
|       -1.1610706 |  0.9978193 | 0.0126460372 |   1.253 |
|       -1.1267321 |   1.003917 | 0.0129328456 |   1.247 |
|       -1.1095584 |  1.0054585 | 0.0131553168 |   1.245 |
|       -1.0924102 |  1.0079502 | 0.0131376172 |   1.242 |
|       -1.0752579 |  1.0067055 |  0.012936462 |    1.24 |
|       -1.0580962 |  1.0022444 | 0.0129067416 |   1.237 |
|       -1.0409426 |  1.0066835 | 0.0125328832 |   1.235 |
|       -1.0237881 |   1.014035 | 0.0130431288 |   1.232 |
|       -1.0066325 |  1.0098286 | 0.0126919496 |    1.23 |
|      -0.98947485 |  1.0071374 | 0.0130732924 |   1.227 |
|      -0.95515907 |  1.0098436 | 0.0133257384 |   1.223 |
|      -0.93798331 |  1.0053849 | 0.0130611476 |    1.22 |
|      -0.92082277 |  1.0025324 | 0.0128093576 |   1.218 |
|      -0.90363025 | 0.99846015 | 0.0127568884 |   1.216 |
|      -0.88647098 | 0.99749233 |  0.012967304 |   1.214 |
|      -0.86930338 |  1.0049371 | 0.0134322064 |   1.212 |
|      -0.85214707 |  1.0002263 |  0.013412916 |    1.21 |
|      -0.83499177 |  1.0110665 | 0.0134183348 |   1.208 |
|      -0.81781283 |  1.0029929 |  0.013104358 |   1.206 |
|      -0.80065585 | 0.99998542 | 0.0129428188 |   1.204 |
|      -0.78350712 |  1.0090728 | 0.0135922436 |   1.202 |
|      -0.76631989 |  1.0094025 | 0.0142726692 |     1.2 |
|      -0.74916646 |  1.0048761 | 0.0129168772 |   1.198 |
|      -0.73201772 |  1.0055211 | 0.0128607052 |   1.196 |
|      -0.71485827 | 0.99769534 | 0.0127331284 |   1.194 |
|      -0.69768679 |  1.0011957 | 0.0129254664 |   1.192 |
