| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 |  1.0195556 | 0.0108970896 |    1.59 |
|       -2.3967685 |  1.0286159 | 0.0109219784 |   1.582 |
|       -2.3796119 |  1.0222848 | 0.0108499896 |   1.575 |
|       -2.3624283 |  1.0224062 |   0.01072263 |   1.568 |
|       -2.3452542 |  1.0268428 | 0.0107360092 |   1.561 |
|       -2.3280954 |  1.0173533 | 0.0104341156 |   1.555 |
|       -2.3108841 |  1.0126201 | 0.0104065532 |   1.548 |
|       -2.2937279 |  1.0357167 | 0.0108149768 |   1.541 |
|       -2.2765756 |  1.0214383 | 0.0104525352 |   1.535 |
|       -2.2594209 |  1.0179149 | 0.0106679036 |   1.528 |
|       -2.2422617 |  1.0013277 |  0.010053394 |   1.522 |
|       -2.2251076 |  1.0244332 | 0.0102297992 |   1.516 |
|        -2.207954 |  1.0186423 | 0.0102208872 |    1.51 |
|       -2.1907916 |  1.0260799 |  0.009911202 |   1.503 |
|       -2.1736349 |  1.0233365 | 0.0102337652 |   1.497 |
|       -2.1564684 |  1.0326723 | 0.0101460772 |   1.492 |
|       -2.1393057 |  1.0179839 | 0.0100994496 |   1.486 |
|       -2.1221514 |  1.0226001 |  0.010031402 |    1.48 |
|       -2.1049994 |  1.0272699 | 0.0101693652 |   1.474 |
|       -2.0878427 |  1.0292093 | 0.0102535192 |   1.469 |
|       -2.0706809 |  1.0229024 | 0.0100121628 |   1.463 |
|       -2.0535003 |  1.0317961 | 0.0102396604 |   1.457 |
|       -2.0363209 |  1.0273651 | 0.0098755188 |   1.452 |
|       -2.0191896 |  1.0274385 |    0.0098589 |   1.447 |
|       -2.0020402 |  1.0171713 | 0.0104625828 |   1.441 |
|       -1.9848875 |  1.0170836 | 0.0102411272 |   1.436 |
|       -1.9677348 |  1.0256014 | 0.0101177952 |   1.431 |
|       -1.9505772 |  1.0187082 | 0.0101036652 |   1.426 |
|       -1.9334253 |  1.0206311 | 0.0101561888 |   1.421 |
|       -1.9162731 |  1.0228697 | 0.0102927428 |   1.416 |
|       -1.8991183 | 0.99927366 | 0.0100245896 |   1.411 |
|       -1.8819675 |  1.0000839 | 0.0098955684 |   1.406 |
|       -1.8648166 |  1.0039473 |  0.010200462 |   1.402 |
|        -1.847663 |  1.0046717 | 0.0100710352 |   1.397 |
|       -1.8305127 |  1.0163497 |  0.010248518 |   1.392 |
|       -1.8133558 | 0.99244668 | 0.0104883432 |   1.388 |
|       -1.7961718 |  1.0003916 | 0.0099832948 |   1.383 |
|       -1.7789818 |  1.0178719 | 0.0099784364 |   1.379 |
|       -1.7618224 |  1.0136006 | 0.0099847364 |   1.375 |
|       -1.7446703 |  1.0148373 | 0.0098833652 |    1.37 |
|        -1.710335 |  1.0146911 | 0.0098467916 |   1.362 |
|       -1.6931812 |  1.0170242 | 0.0097837656 |   1.358 |
|       -1.6760198 |  1.0158223 | 0.0098049896 |   1.353 |
|       -1.6588624 |  1.0031815 | 0.0098143336 |   1.349 |
|       -1.6245494 |  1.0111975 | 0.0099135648 |   1.341 |
|       -1.6073352 |  1.0200721 | 0.0097975256 |   1.338 |
|       -1.5901794 |  1.0111982 | 0.0096606524 |   1.334 |
|       -1.5730222 |  1.0198323 | 0.0098111112 |    1.33 |
|         -1.55587 |  1.0241428 | 0.0097159292 |   1.326 |
|       -1.5215525 |  1.0212123 |  0.009685248 |   1.319 |
|       -1.5043944 |  1.0092282 | 0.0096175608 |   1.315 |
|       -1.4872407 |  1.0078092 | 0.0096995224 |   1.312 |
|       -1.4700676 |  1.0113509 | 0.0098329744 |   1.308 |
|       -1.4528847 |  1.0228497 | 0.0097454128 |   1.305 |
|       -1.4357223 |  0.9979877 | 0.0095402404 |   1.301 |
|       -1.4185246 |  1.0063385 | 0.0096837452 |   1.298 |
|       -1.4013444 |  1.0023613 | 0.0094844668 |   1.295 |
|       -1.3841855 |  1.0110298 | 0.0096983756 |   1.291 |
|       -1.3669997 |  1.0077891 | 0.0095586664 |   1.288 |
|       -1.3498463 |  1.0121368 |  0.009453536 |   1.285 |
|       -1.3326628 |  1.0057661 |   0.00962474 |   1.282 |
|       -1.3154663 |  1.0158854 | 0.0094883524 |   1.279 |
|       -1.2982878 |    1.02222 | 0.0095244324 |   1.276 |
|       -1.2811327 |  1.0105185 | 0.0095276544 |   1.273 |
|       -1.2639686 |  1.0276142 | 0.0094697532 |    1.27 |
|       -1.2468145 |  1.0229911 | 0.0094019228 |   1.267 |
|       -1.2296646 |  1.0189076 |  0.009721936 |   1.264 |
|       -1.2125125 |  1.0130891 | 0.0094716116 |   1.261 |
|       -1.1953755 |  1.0170699 |  0.009436748 |   1.258 |
|       -1.1782241 |    1.00452 |  0.009388852 |   1.255 |
|       -1.1610706 |   1.011814 | 0.0094491176 |   1.253 |
|       -1.1439169 |  1.0033638 | 0.0095228696 |    1.25 |
|       -1.1267321 |  1.0119409 | 0.0094941956 |   1.247 |
|       -1.1095584 |  1.0103433 |  0.009496688 |   1.245 |
|       -1.0924102 |  1.0076351 |  0.009614224 |   1.242 |
|       -1.0752579 |  1.0020859 |    0.0094796 |    1.24 |
|       -1.0580962 |  1.0149097 | 0.0094879452 |   1.237 |
|       -1.0409426 |  1.0116621 | 0.0092603916 |   1.235 |
|       -1.0237881 |  1.0035884 | 0.0094167736 |   1.232 |
|       -1.0066325 |  1.0153161 | 0.0092137972 |    1.23 |
|      -0.98947485 |  1.0090008 | 0.0095158572 |   1.227 |
|      -0.97231195 |  1.0025639 | 0.0093366556 |   1.225 |
|      -0.95515907 | 0.99987643 | 0.0093636336 |   1.223 |
|      -0.93798331 |  1.0078822 | 0.0094876192 |    1.22 |
|      -0.92082277 |  1.0110216 |  0.009288422 |   1.218 |
|      -0.90363025 |  1.0099288 |  0.009269956 |   1.216 |
|      -0.88647098 |  1.0095755 | 0.0094577828 |   1.214 |
|      -0.86930338 |   1.008531 | 0.0096843204 |   1.212 |
|      -0.85214707 |  1.0105779 | 0.0095398008 |    1.21 |
|      -0.83499177 |  1.0000668 |  0.009443588 |   1.208 |
|      -0.81781283 |  1.0055066 | 0.0093463144 |   1.206 |
|      -0.80065585 |  1.0066336 | 0.0094039764 |   1.204 |
|      -0.78350712 |  1.0106596 | 0.0096030564 |   1.202 |
|      -0.76631989 | 0.99895199 | 0.0095772276 |     1.2 |
|      -0.74916646 |   1.010574 | 0.0093313428 |   1.198 |
|      -0.73201772 |  1.0098718 |  0.009378658 |   1.196 |
|      -0.71485827 |   1.001077 |    0.0092695 |   1.194 |
|      -0.69768679 |  0.9953915 |  0.009309708 |   1.192 |
|      -0.68053768 |  1.0069203 | 0.0095142704 |   1.191 |
|      -0.66338503 |  1.0111567 | 0.0094136852 |   1.189 |
|      -0.64623282 |  1.0051834 | 0.0094236316 |   1.187 |
|      -0.62907667 |  1.0119027 | 0.0096014596 |   1.185 |
|      -0.61190716 |  1.0029618 | 0.0095061912 |   1.184 |
|      -0.59474967 |   1.008823 | 0.0094030808 |   1.182 |
|       -0.5775946 | 0.99852586 | 0.0092535764 |   1.181 |
|      -0.56041372 |  1.0064618 | 0.0093845516 |   1.179 |
|      -0.54326313 |  1.0138661 | 0.0094225072 |   1.178 |
|      -0.52607189 |   1.006951 | 0.0091997888 |   1.176 |
|      -0.50891352 |  1.0156482 | 0.0091710628 |   1.175 |
|      -0.49168405 |  1.0085448 |  0.009165964 |   1.173 |
|      -0.47451943 |   1.005874 | 0.0093458588 |   1.172 |
|      -0.45732503 | 0.99353704 | 0.0091299172 |    1.17 |
|      -0.44017357 |  1.0089775 | 0.0092247208 |   1.169 |
|      -0.42301279 |  1.0010045 | 0.0092766552 |   1.168 |
|      -0.40583064 | 0.99800859 |  0.009124694 |   1.166 |
|        -0.388651 |  1.0022092 |  0.009099058 |   1.165 |
|        -0.371495 |  1.0146401 | 0.0093152592 |   1.164 |
|      -0.35434107 | 0.99749906 | 0.0091343108 |   1.163 |
|      -0.33717167 |  1.0144925 | 0.0093537112 |   1.161 |
