| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 |  1.0088722 | 0.0119216076 |    1.59 |
|       -2.3967685 |  1.0095002 | 0.0120134788 |   1.582 |
|       -2.3796119 |  1.0064962 | 0.0118777192 |   1.575 |
|       -2.3624283 |  1.0127162 | 0.0120883364 |   1.568 |
|       -2.3452542 |  0.9932457 | 0.0115754172 |   1.561 |
|       -2.3280954 |  1.0080834 |  0.011356444 |   1.555 |
|       -2.3108841 |   1.007182 | 0.0117733084 |   1.548 |
|       -2.2937279 | 0.99771853 | 0.0117459956 |   1.541 |
|       -2.2765756 |  0.9982452 | 0.0115512696 |   1.535 |
|       -2.2594209 |  1.0004935 | 0.0120060304 |   1.528 |
|       -2.2422617 |  1.0063854 | 0.0111812596 |   1.522 |
|       -2.2251076 |  1.0015203 | 0.0109113656 |   1.516 |
|        -2.207954 | 0.99928976 | 0.0109075156 |    1.51 |
|       -2.1907916 | 0.99673723 |   0.01081613 |   1.503 |
|       -2.1736349 | 0.99412803 | 0.0107710956 |   1.497 |
|       -2.1564684 | 0.98814082 | 0.0106503004 |   1.492 |
|       -2.1393057 | 0.99567793 | 0.0108132452 |   1.486 |
|       -2.1221514 | 0.99775993 | 0.0107358352 |    1.48 |
|       -2.1049994 |   1.001441 |  0.010741708 |   1.474 |
|       -2.0878427 |  1.0070294 | 0.0108604024 |   1.469 |
|       -2.0706809 | 0.99362188 | 0.0107639856 |   1.463 |
|       -2.0535003 | 0.99550901 | 0.0105464704 |   1.457 |
|       -2.0363209 | 0.99845317 | 0.0105125616 |   1.452 |
|       -2.0191896 | 0.98403921 |  0.010612848 |   1.447 |
|       -2.0020402 |  1.0034172 | 0.0110365512 |   1.441 |
|       -1.9848875 |  1.0129606 | 0.0107056152 |   1.436 |
|       -1.9677348 |  0.9986869 |  0.010620504 |   1.431 |
|       -1.9505772 | 0.99780494 |  0.010574492 |   1.426 |
|       -1.9334253 | 0.99696898 | 0.0106243192 |   1.421 |
|       -1.9162731 | 0.99457236 | 0.0109496112 |   1.416 |
|       -1.8991183 |  1.0123178 | 0.0109266148 |   1.411 |
|       -1.8819675 |  1.0063751 |  0.010891452 |   1.406 |
|       -1.8648166 | 0.99530329 | 0.0108760104 |   1.402 |
|        -1.847663 |  1.0075125 | 0.0107525216 |   1.397 |
|       -1.8305127 |  1.0010034 | 0.0108135448 |   1.392 |
|       -1.8133558 |  1.0051127 | 0.0122765888 |   1.388 |
|       -1.7961718 |  1.0042267 | 0.0107195016 |   1.383 |
|       -1.7789818 | 0.99263986 | 0.0104486644 |   1.379 |
|       -1.7618224 |  1.0127401 |   0.01072338 |   1.375 |
|       -1.7446703 | 0.99762869 | 0.0104493732 |    1.37 |
|       -1.7275163 | 0.99607508 |  0.010422336 |   1.366 |
|        -1.710335 | 0.99605709 |  0.010267034 |   1.362 |
|       -1.6931812 | 0.99698163 | 0.0105958632 |   1.358 |
|       -1.6760198 | 0.99654065 |   0.01033814 |   1.353 |
|       -1.6588624 | 0.99786784 | 0.0104933312 |   1.349 |
|        -1.641703 | 0.99496652 | 0.0105080432 |   1.345 |
|       -1.6245494 |  1.0021566 | 0.0101096508 |   1.341 |
