| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 | 0.99705129 | 0.0110413692 |    1.59 |
|       -2.3967685 |  1.0014439 | 0.0110669972 |   1.582 |
|       -2.3796119 |  1.0047305 | 0.0109763632 |   1.575 |
|       -2.3624283 | 0.99880333 | 0.0110835596 |   1.568 |
|       -2.3452542 | 0.99562977 |  0.010808768 |   1.561 |
|       -2.3280954 |  1.0013328 | 0.0106545184 |   1.555 |
|       -2.3108841 |  1.0005639 | 0.0107871952 |   1.548 |
|       -2.2937279 |  1.0001966 | 0.0110463896 |   1.541 |
|       -2.2765756 | 0.99844532 | 0.0106822968 |   1.535 |
|       -2.2594209 |  1.0062834 |  0.011120482 |   1.528 |
|       -2.2422617 | 0.99300112 |  0.010295734 |   1.522 |
|       -2.2251076 |  1.0025472 |  0.010364048 |   1.516 |
|        -2.207954 | 0.98822368 | 0.0104600356 |    1.51 |
|       -2.1907916 |  1.0091154 | 0.0102777964 |   1.503 |
|       -2.1736349 |    1.00554 |   0.01038875 |   1.497 |
|       -2.1564684 |  1.0079705 | 0.0102687548 |   1.492 |
|       -2.1393057 |  1.0045806 | 0.0103803064 |   1.486 |
|       -2.1221514 |  1.0071058 | 0.0103072844 |    1.48 |
|       -2.1049994 |  1.0069317 | 0.0102617892 |   1.474 |
|       -2.0878427 |  1.0199072 | 0.0106338336 |   1.469 |
|       -2.0535003 |   1.000594 | 0.0103622052 |   1.457 |
|       -2.0363209 |  1.0043313 | 0.0100306216 |   1.452 |
|       -2.0191896 | 0.99992635 | 0.0100932752 |   1.447 |
|       -2.0020402 |  1.0114235 | 0.0107121556 |   1.441 |
|       -1.9848875 |  1.0119863 | 0.0104991728 |   1.436 |
|       -1.9677348 |  1.0013302 | 0.0103727004 |   1.431 |
|       -1.9505772 |  1.0012951 | 0.0102649792 |   1.426 |
|       -1.9334253 | 0.99836441 | 0.0102445608 |   1.421 |
|       -1.9162731 |  0.9988559 | 0.0105533384 |   1.416 |
|       -1.8991183 | 0.99838916 | 0.0105120572 |   1.411 |
|       -1.8819675 |  1.0004278 | 0.0104090772 |   1.406 |
|       -1.8648166 | 0.99903319 | 0.0106318288 |   1.402 |
|        -1.847663 |  1.0049876 | 0.0105805284 |   1.397 |
|       -1.8305127 | 0.99825327 | 0.0104674796 |   1.392 |
|       -1.8133558 |  1.0007866 | 0.0114713636 |   1.388 |
|       -1.7961718 | 0.99647053 | 0.0104377876 |   1.383 |
|       -1.7789818 | 0.99763619 | 0.0103556228 |   1.379 |
|       -1.7618224 |  1.0096453 | 0.0105384212 |   1.375 |
|       -1.7446703 |  1.0027157 | 0.0103663116 |    1.37 |
|       -1.7275163 |  1.0037536 | 0.0102442056 |   1.366 |
|        -1.710335 |  1.0035874 | 0.0101494176 |   1.362 |
|       -1.6931812 |  1.0037998 | 0.0103358156 |   1.358 |
|       -1.6760198 |  1.0065944 | 0.0103022456 |   1.353 |
|       -1.6588624 |  0.9970377 | 0.0103590656 |   1.349 |
|        -1.641703 | 0.99944603 | 0.0103655944 |   1.345 |
|       -1.6245494 |  1.0088371 | 0.0102580564 |   1.341 |
|       -1.6073352 | 0.99539844 |  0.010117292 |   1.338 |
|       -1.5901794 |  1.0008347 | 0.0099451728 |   1.334 |
|       -1.5730222 | 0.99979787 | 0.0100120348 |    1.33 |
|         -1.55587 |  0.9969571 | 0.0100679576 |   1.326 |
|       -1.5387079 | 0.99931747 | 0.0100083064 |   1.322 |
|       -1.5215525 |   1.006408 | 0.0101214916 |   1.319 |
|       -1.5043944 |  1.0035081 | 0.0101096972 |   1.315 |
|       -1.4700676 |  1.0008937 | 0.0102534408 |   1.308 |
|       -1.4528847 |  1.0054063 | 0.0100352052 |   1.305 |
|       -1.4357223 |  1.0003006 | 0.0100673152 |   1.301 |
|       -1.4185246 |  1.0013804 | 0.0100031476 |   1.298 |
|       -1.4013444 | 0.99529128 | 0.0098835112 |   1.295 |
|       -1.3841855 |  1.0075711 | 0.0102052472 |   1.291 |
|       -1.3669997 |  1.0055999 |  0.009913878 |   1.288 |
|       -1.3498463 |   1.000154 | 0.0097496968 |   1.285 |
|       -1.3326628 |  1.0028737 | 0.0102468572 |   1.282 |
|       -1.3154663 |  1.0016251 |  0.009811174 |   1.279 |
|       -1.2982878 |  1.0062975 |  0.009873024 |   1.276 |
|       -1.2811327 |  1.0022701 | 0.0099310376 |   1.273 |
|       -1.2639686 | 0.99591586 | 0.0095543436 |    1.27 |
|       -1.2468145 |  1.0038619 | 0.0096794312 |   1.267 |
|       -1.2296646 | 0.99747351 | 0.0098926728 |   1.264 |
|       -1.2125125 |  1.0022847 | 0.0096365532 |   1.261 |
|       -1.1953755 |  1.0064554 |  0.009747564 |   1.258 |
|       -1.1782241 |  1.0052542 | 0.0097856852 |   1.255 |
|       -1.1610706 |  1.0049506 |  0.009783114 |   1.253 |
|       -1.1439169 |  1.0130898 | 0.0100236212 |    1.25 |
|       -1.1267321 |  1.0032924 | 0.0098167356 |   1.247 |
|       -1.1095584 |  1.0031759 | 0.0099214496 |   1.245 |
|       -1.0924102 |  1.0104162 | 0.0100022348 |   1.242 |
|       -1.0752579 |  1.0173043 | 0.0100009652 |    1.24 |
|       -1.0580962 |  1.0115794 | 0.0099784396 |   1.237 |
|       -1.0409426 | 0.99375074 | 0.0095050596 |   1.235 |
|       -1.0237881 |  1.0109418 |   0.00993933 |   1.232 |
|       -1.0066325 |      1.008 | 0.0097237288 |    1.23 |
|      -0.98947485 |  1.0059812 | 0.0099380144 |   1.227 |
|      -0.97231195 | 0.99856997 |  0.009697718 |   1.225 |
|      -0.95515907 |  1.0072447 | 0.0099864852 |   1.223 |
|      -0.93798331 |  1.0116218 | 0.0099353716 |    1.22 |
|      -0.92082277 |   1.005494 | 0.0097787528 |   1.218 |
|      -0.90363025 |  1.0041551 | 0.0097768948 |   1.216 |
|      -0.88647098 |  1.0088072 | 0.0100514348 |   1.214 |
|      -0.86930338 |  1.0053089 | 0.0101906684 |   1.212 |
|      -0.85214707 | 0.99833957 | 0.0100340432 |    1.21 |
|      -0.83499177 |   1.002859 | 0.0100335252 |   1.208 |
|      -0.81781283 |  1.0019243 | 0.0099126844 |   1.206 |
|      -0.80065585 |  1.0040161 |  0.009818666 |   1.204 |
|      -0.78350712 |  1.0099346 | 0.0102685536 |   1.202 |
|      -0.76631989 |  1.0064196 | 0.0102679152 |     1.2 |
|      -0.74916646 |  1.0031661 | 0.0097113624 |   1.198 |
|      -0.73201772 |  1.0015928 | 0.0098191976 |   1.196 |
|      -0.71485827 | 0.99774178 | 0.0097204052 |   1.194 |
|      -0.69768679 |  1.0046666 | 0.0099798984 |   1.192 |
