| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 | 0.99958405 |  0.014144326 |    1.59 |
|       -2.3967685 |  1.0024189 |  0.014070468 |   1.582 |
|       -2.3796119 | 0.99858112 | 0.0139608016 |   1.575 |
|       -2.3624283 |  1.0106509 | 0.0143449196 |   1.568 |
|       -2.3452542 | 0.99524321 | 0.0137398708 |   1.561 |
|       -2.3280954 |  1.0056789 | 0.0136167124 |   1.555 |
|       -2.3108841 |     1.0161 | 0.0142517828 |   1.548 |
|       -2.2937279 |  1.0028392 | 0.0140811792 |   1.541 |
|       -2.2765756 |  1.0041305 |  0.013775532 |   1.535 |
|       -2.2594209 |  1.0060726 | 0.0139666148 |   1.528 |
|       -2.2422617 |  1.0140566 | 0.0134073364 |   1.522 |
|       -2.2251076 |  1.0014157 | 0.0130480104 |   1.516 |
|        -2.207954 |  1.0046634 |  0.013219366 |    1.51 |
|       -2.1907916 |  1.0083236 | 0.0130290376 |   1.503 |
|       -2.1736349 |  1.0009088 | 0.0129378812 |   1.497 |
|       -2.1564684 | 0.99978751 |   0.01284151 |   1.492 |
|       -2.1393057 |  1.0007064 | 0.0130242868 |   1.486 |
|       -2.1221514 |  1.0062183 | 0.0128885316 |    1.48 |
|       -2.1049994 |  1.0095631 | 0.0128085464 |   1.474 |
|       -2.0878427 |  1.0031283 | 0.0127690136 |   1.469 |
|       -2.0706809 |   1.007552 | 0.0129009352 |   1.463 |
|       -2.0535003 |  1.0023756 | 0.0125846564 |   1.457 |
|       -2.0363209 |  1.0075302 | 0.0125779836 |   1.452 |
|       -2.0191896 |  1.0020083 | 0.0127536152 |   1.447 |
|       -2.0020402 |  1.0004523 | 0.0127912028 |   1.441 |
|       -1.9848875 |  1.0032147 |  0.012491124 |   1.436 |
|       -1.9677348 |  0.9976292 | 0.0124750268 |   1.431 |
|       -1.9505772 |  1.0036512 | 0.0126235304 |   1.426 |
|       -1.9334253 | 0.99536652 | 0.0124108288 |   1.421 |
|       -1.9162731 |   0.998326 | 0.0128792752 |   1.416 |
|       -1.8991183 |  1.0118646 | 0.0128753788 |   1.411 |
|       -1.8819675 |  1.0071106 |  0.012746352 |   1.406 |
|        -1.847663 |  1.0074871 | 0.0126542352 |   1.397 |
|       -1.8305127 | 0.99054775 |  0.012666312 |   1.392 |
|       -1.8133558 |  1.0108668 |   0.01409641 |   1.388 |
|       -1.7961718 |  0.9979582 | 0.0126495956 |   1.383 |
|       -1.7789818 | 0.99995844 | 0.0124260744 |   1.379 |
|       -1.7618224 |  1.0084913 |  0.012607178 |   1.375 |
|       -1.7446703 |  1.0007445 | 0.0124297168 |    1.37 |
|       -1.7275163 |  1.0000921 | 0.0122833128 |   1.366 |
|        -1.710335 | 0.99089663 | 0.0120365344 |   1.362 |
|       -1.6931812 | 0.99598911 | 0.0123609064 |   1.358 |
|       -1.6760198 | 0.99661692 |  0.012234768 |   1.353 |
|       -1.6588624 |  1.0027216 | 0.0123705248 |   1.349 |
|        -1.641703 | 0.99960722 | 0.0124280784 |   1.345 |
|       -1.6245494 | 0.99486415 | 0.0119373308 |   1.341 |
|       -1.6073352 | 0.99696048 | 0.0121415408 |   1.338 |
|       -1.5901794 | 0.98896166 | 0.0118049024 |   1.334 |
|       -1.5730222 | 0.99754098 | 0.0117723292 |    1.33 |
|         -1.55587 |  1.0050159 | 0.0120371756 |   1.326 |
|       -1.5215525 |  1.0001655 |  0.011838576 |   1.319 |
|       -1.5043944 |  1.0022749 | 0.0119764056 |   1.315 |
|       -1.4700676 |  1.0058842 |  0.012001988 |   1.308 |
|       -1.4528847 | 0.99636233 | 0.0116161028 |   1.305 |
|       -1.4357223 |  1.0048004 |   0.01201396 |   1.301 |
|       -1.4185246 | 0.99803569 | 0.0115628784 |   1.298 |
|       -1.4013444 |  1.0023547 | 0.0117268696 |   1.295 |
|       -1.3841855 |  1.0005669 | 0.0116828716 |   1.291 |
|       -1.3669997 |  1.0020216 | 0.0116117288 |   1.288 |
|       -1.3498463 |  1.0036004 | 0.0114248272 |   1.285 |
|       -1.3326628 |  1.0033579 | 0.0120629268 |   1.282 |
|       -1.3154663 | 0.99854476 | 0.0115484104 |   1.279 |
|       -1.2982878 |  1.0064728 | 0.0116649916 |   1.276 |
|       -1.2811327 |  1.0034543 |   0.01154443 |   1.273 |
|       -1.2639686 |  1.0043262 | 0.0114319992 |    1.27 |
|       -1.2468145 | 0.99990348 |  0.011475394 |   1.267 |
|       -1.2296646 |  1.0047768 | 0.0118081172 |   1.264 |
|       -1.2125125 |  1.0037784 | 0.0112822616 |   1.261 |
|       -1.1953755 |  1.0027287 |    0.0113529 |   1.258 |
|       -1.1782241 |  1.0012248 | 0.0113468964 |   1.255 |
|       -1.1610706 |  1.0042579 | 0.0113675084 |   1.253 |
|       -1.1439169 |  1.0014195 | 0.0114825612 |    1.25 |
|       -1.1267321 |  1.0088259 | 0.0114314744 |   1.247 |
|       -1.1095584 |   1.001063 | 0.0115767732 |   1.245 |
|       -1.0924102 | 0.98852487 | 0.0114139516 |   1.242 |
|       -1.0752579 | 0.99849097 |  0.011358866 |    1.24 |
|       -1.0580962 |  1.0052494 | 0.0115847096 |   1.237 |
|       -1.0409426 |  1.0094539 | 0.0114109784 |   1.235 |
|       -1.0237881 | 0.99648287 | 0.0113986692 |   1.232 |
|       -1.0066325 |   1.003735 | 0.0113957252 |    1.23 |
|      -0.98947485 | 0.98820757 |  0.011306246 |   1.227 |
|      -0.97231195 |  1.0039069 | 0.0113425856 |   1.225 |
|      -0.95515907 |  1.0055643 | 0.0115512248 |   1.223 |
|      -0.92082277 |   1.002067 | 0.0113399396 |   1.218 |
|      -0.90363025 |  0.9889118 | 0.0111397996 |   1.216 |
|      -0.88647098 | 0.98924569 | 0.0114709812 |   1.214 |
|      -0.86930338 | 0.99904915 | 0.0115250244 |   1.212 |
|      -0.85214707 |   1.000862 | 0.0115699608 |    1.21 |
|      -0.83499177 |  1.0044527 |  0.011598592 |   1.208 |
|      -0.81781283 |  1.0028087 | 0.0114360792 |   1.206 |
|      -0.80065585 | 0.99825159 |  0.011231496 |   1.204 |
|      -0.78350712 | 0.99564385 |  0.011611308 |   1.202 |
|      -0.76631989 | 0.99692965 | 0.0117292404 |     1.2 |
|      -0.74916646 |  1.0047712 | 0.0112818868 |   1.198 |
|      -0.73201772 |  1.0059552 | 0.0113449556 |   1.196 |
|      -0.71485827 |  1.0125773 | 0.0113940636 |   1.194 |
|      -0.69768679 |  1.0004398 | 0.0114382452 |   1.192 |
|      -0.68053768 | 0.99677392 | 0.0113823764 |   1.191 |
|      -0.66338503 | 0.99501594 | 0.0114106336 |   1.189 |
|      -0.64623282 |  1.0005971 | 0.0115381308 |   1.187 |
|      -0.62907667 | 0.99769256 | 0.0117864468 |   1.185 |
|      -0.61190716 |  1.0009695 | 0.0118457032 |   1.184 |
|      -0.59474967 |  0.9930612 | 0.0112665896 |   1.182 |
|       -0.5775946 |   1.003374 |   0.01132708 |   1.181 |
|      -0.56041372 | 0.99694878 |  0.011385386 |   1.179 |
|      -0.54326313 |  1.0055219 | 0.0113370224 |   1.178 |
|      -0.52607189 |  1.0012805 | 0.0113081812 |   1.176 |
|      -0.50891352 |  1.0062374 |  0.011216468 |   1.175 |
|      -0.49168405 |  1.0048498 |  0.011286786 |   1.173 |
|      -0.47451943 |   1.006296 | 0.0115175536 |   1.172 |
|      -0.45732503 |   1.010683 | 0.0115953804 |    1.17 |
