| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 |  1.0006718 | 0.0165244776 |    1.59 |
|       -2.3967685 |  1.0088272 |  0.016657434 |   1.582 |
|       -2.3796119 |  1.0091272 | 0.0164291028 |   1.575 |
|       -2.3624283 |  1.0120981 | 0.0166298068 |   1.568 |
|       -2.3452542 | 0.99701865 | 0.0158599604 |   1.561 |
|       -2.3280954 |  1.0056204 | 0.0156024856 |   1.555 |
|       -2.3108841 |    1.00406 |  0.015985272 |   1.548 |
|       -2.2937279 |  1.0094383 | 0.0163853668 |   1.541 |
|       -2.2765756 |  1.0147963 | 0.0158891496 |   1.535 |
|       -2.2594209 |  1.0159734 |  0.016371228 |   1.528 |
|       -2.2422617 |  1.0089936 |  0.015381988 |   1.522 |
|       -2.2251076 | 0.99711241 | 0.0148327188 |   1.516 |
|        -2.207954 |        1.0 | 0.0150136984 |    1.51 |
|       -2.1907916 |  1.0032639 | 0.0146690876 |   1.503 |
|       -2.1736349 |  1.0138601 |  0.015058266 |   1.497 |
|       -2.1564684 |  1.0031878 |  0.014778542 |   1.492 |
|       -2.1393057 |  1.0092971 | 0.0149971532 |   1.486 |
|       -2.1221514 |   0.992174 | 0.0144701936 |    1.48 |
|       -2.1049994 |  1.0131595 | 0.0147856252 |   1.474 |
|       -2.0878427 |  1.0011362 | 0.0146149228 |   1.469 |
|       -2.0706809 |  1.0053274 |   0.01452008 |   1.463 |
|       -2.0535003 |  1.0089001 | 0.0144285516 |   1.457 |
|       -2.0363209 |  1.0053175 | 0.0141740352 |   1.452 |
|       -2.0191896 |  1.0042153 | 0.0145050276 |   1.447 |
|       -2.0020402 |  1.0044385 |  0.014763142 |   1.441 |
|       -1.9848875 |   1.011788 | 0.0144981624 |   1.436 |
|       -1.9677348 |  1.0012961 | 0.0142820952 |   1.431 |
|       -1.9505772 | 0.99627235 |    0.0141742 |   1.426 |
|       -1.9334253 |  1.0093977 | 0.0144084028 |   1.421 |
|       -1.9162731 |  1.0012737 |   0.01479634 |   1.416 |
|       -1.8991183 |   1.017435 | 0.0147005172 |   1.411 |
|       -1.8819675 |  1.0061107 | 0.0145705588 |   1.406 |
|       -1.8648166 |  1.0257766 | 0.0149581748 |   1.402 |
|        -1.847663 |  1.0124679 |   0.01451906 |   1.397 |
|       -1.8305127 |  1.0063967 |    0.0146239 |   1.392 |
|       -1.8133558 |  1.0083191 | 0.0161965476 |   1.388 |
|       -1.7961718 |  1.0129689 | 0.0145023436 |   1.383 |
|       -1.7789818 |  1.0083397 |  0.014266962 |   1.379 |
|       -1.7618224 |  1.0047365 | 0.0142047216 |   1.375 |
|       -1.7446703 |  1.0033104 | 0.0140998524 |    1.37 |
|       -1.7275163 |  1.0008595 | 0.0139193372 |   1.366 |
|        -1.710335 |  1.0110406 | 0.0138203144 |   1.362 |
|       -1.6931812 |  1.0071099 | 0.0139564616 |   1.358 |
|       -1.6760198 |  1.0073019 | 0.0139034312 |   1.353 |
|       -1.6588624 |  1.0050766 |  0.014095136 |   1.349 |
|        -1.641703 |  0.9961602 | 0.0139239736 |   1.345 |
|       -1.6245494 |  1.0057703 |   0.01357708 |   1.341 |
|       -1.6073352 |  1.0089876 | 0.0138093268 |   1.338 |
|       -1.5901794 |  1.0055193 | 0.0134879056 |   1.334 |
|       -1.5730222 |  1.0028267 |  0.013410538 |    1.33 |
|         -1.55587 |  1.0019846 | 0.0134556048 |   1.326 |
|       -1.5387079 |  1.0005438 | 0.0132728712 |   1.322 |
|       -1.5215525 | 0.99986719 | 0.0132659872 |   1.319 |
|       -1.5043944 |  1.0025695 | 0.0134162476 |   1.315 |
|       -1.4872407 |  1.0110483 | 0.0135923192 |   1.312 |
|       -1.4700676 |  1.0077446 | 0.0136393008 |   1.308 |
|       -1.4528847 |  1.0076476 | 0.0132149864 |   1.305 |
|       -1.4357223 |    1.00899 |  0.013481602 |   1.301 |
|       -1.4185246 | 0.99481993 | 0.0130500584 |   1.298 |
|       -1.4013444 |  1.0095579 | 0.0132810008 |   1.295 |
|       -1.3841855 |  1.0111586 |  0.013359938 |   1.291 |
|       -1.3669997 | 0.99846183 | 0.0128561368 |   1.288 |
|       -1.3498463 |  1.0038454 |   0.01278419 |   1.285 |
|       -1.3326628 |  1.0086525 | 0.0135820704 |   1.282 |
|       -1.3154663 |  1.0044088 |  0.013050648 |   1.279 |
|       -1.2982878 | 0.99885517 | 0.0129406892 |   1.276 |
|       -1.2811327 |  1.0042713 | 0.0130461348 |   1.273 |
|       -1.2639686 |  1.0042061 | 0.0127169316 |    1.27 |
|       -1.2468145 |  1.0017176 |  0.012780908 |   1.267 |
|       -1.2296646 |  1.0041345 | 0.0131093668 |   1.264 |
|       -1.2125125 |  1.0085186 |  0.012656326 |   1.261 |
|       -1.1953755 |  1.0034626 | 0.0126951704 |   1.258 |
|       -1.1782241 |  1.0018138 | 0.0127233396 |   1.255 |
|       -1.1610706 |  1.0161365 | 0.0128746952 |   1.253 |
|       -1.1439169 |   1.008623 | 0.0129793084 |    1.25 |
|       -1.1267321 | 0.99668304 | 0.0127199896 |   1.247 |
|       -1.1095584 |  1.0050963 | 0.0130093332 |   1.245 |
|       -1.0924102 |  1.0051691 | 0.0129820672 |   1.242 |
|       -1.0752579 |  1.0031539 | 0.0127726188 |    1.24 |
|       -1.0580962 |  1.0030781 | 0.0128645052 |   1.237 |
