| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 |  1.0095369 | 0.0109661132 |    1.59 |
|       -2.3967685 | 0.99987219 | 0.0107950532 |   1.582 |
|       -2.3796119 |  1.0106593 | 0.0108884292 |   1.575 |
|       -2.3624283 |  1.0064571 | 0.0109479536 |   1.568 |
|       -2.3452542 |  1.0011607 | 0.0106167596 |   1.561 |
|       -2.3280954 |  1.0037765 | 0.0105438496 |   1.555 |
|       -2.3108841 |  1.0000599 | 0.0106041244 |   1.548 |
|       -2.2937279 |  1.0030325 |  0.010878366 |   1.541 |
|       -2.2765756 |  1.0029985 | 0.0105241548 |   1.535 |
|       -2.2594209 |  1.0032866 | 0.0108872404 |   1.528 |
|       -2.2422617 |  1.0068296 |   0.01030681 |   1.522 |
|       -2.2251076 | 0.99661173 | 0.0099188552 |   1.516 |
|        -2.207954 |  1.0017925 | 0.0101157504 |    1.51 |
|       -2.1907916 | 0.99515458 |   0.00983782 |   1.503 |
|       -2.1736349 |  1.0097012 | 0.0102042948 |   1.497 |
|       -2.1564684 | 0.99481103 | 0.0099023648 |   1.492 |
|       -2.1393057 |  1.0111539 |  0.010189484 |   1.486 |
|       -2.1221514 |  1.0004831 | 0.0099738232 |    1.48 |
|       -2.1049994 |  1.0029498 | 0.0099004456 |   1.474 |
|       -2.0878427 |  1.0077025 |   0.01003493 |   1.469 |
|       -2.0706809 |  1.0008872 | 0.0099969052 |   1.463 |
|       -2.0535003 |  1.0028983 | 0.0098870256 |   1.457 |
|       -2.0363209 |  1.0017055 | 0.0096986112 |   1.452 |
|       -2.0191896 | 0.99507121 | 0.0099177772 |   1.447 |
|       -1.9848875 |    1.00607 | 0.0100404116 |   1.436 |
|       -1.9677348 |  1.0032907 | 0.0099732656 |   1.431 |
|       -1.9505772 |  1.0011913 | 0.0099327872 |   1.426 |
|       -1.9334253 |  1.0056129 | 0.0099849388 |   1.421 |
|       -1.9162731 |  1.0003207 |  0.010344816 |   1.416 |
|       -1.8991183 |  1.0048854 | 0.0103203136 |   1.411 |
|       -1.8819675 | 0.99563275 | 0.0101530428 |   1.406 |
|       -1.8648166 |   1.012375 | 0.0103838308 |   1.402 |
|        -1.847663 |  1.0076768 | 0.0103149096 |   1.397 |
|       -1.8305127 | 0.99587338 | 0.0102338356 |   1.392 |
|       -1.8133558 |  1.0053579 | 0.0114382068 |   1.388 |
|       -1.7961718 |  1.0016752 | 0.0101941176 |   1.383 |
|       -1.7789818 | 0.99484922 | 0.0099432284 |   1.379 |
|       -1.7618224 |  1.0073121 | 0.0102413904 |   1.375 |
|       -1.7446703 |   1.004574 | 0.0100210224 |    1.37 |
|       -1.7275163 | 0.99646958 | 0.0099109256 |   1.366 |
