| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 | 0.99732926 | 0.0092518132 |    1.59 |
|       -2.3967685 |  1.0008145 | 0.0093319392 |   1.582 |
|       -2.3796119 | 0.99830339 | 0.0092830924 |   1.575 |
|       -2.3624283 |  1.0010225 | 0.0093393672 |   1.568 |
|       -2.3452542 |  1.0008923 | 0.0091640676 |   1.561 |
|       -2.3280954 |   0.995284 | 0.0089024904 |   1.555 |
|       -2.3108841 | 0.99392241 | 0.0090782524 |   1.548 |
|       -2.2937279 |   1.002881 | 0.0093072036 |   1.541 |
|       -2.2765756 | 0.99707038 | 0.0089713868 |   1.535 |
|       -2.2594209 |  1.0010228 |  0.009298134 |   1.528 |
|       -2.2422617 | 0.99718281 | 0.0087938156 |   1.522 |
|       -2.2251076 |   1.004546 | 0.0087436584 |   1.516 |
|        -2.207954 |  0.9950475 | 0.0086530236 |    1.51 |
|       -2.1907916 | 0.99407525 |  0.008512512 |   1.503 |
|       -2.1736349 |  1.0025014 | 0.0086882752 |   1.497 |
|       -2.1564684 | 0.99725519 | 0.0086313256 |   1.492 |
|       -2.1393057 |  1.0026212 | 0.0087455956 |   1.486 |
|       -2.1221514 | 0.99842549 |  0.008619026 |    1.48 |
|       -2.1049994 |  1.0041765 | 0.0086559332 |   1.474 |
|       -2.0878427 |  1.0020025 | 0.0086890204 |   1.469 |
|       -2.0706809 | 0.99957972 |  0.008687982 |   1.463 |
|       -2.0535003 |  1.0010268 |  0.008598758 |   1.457 |
|       -2.0363209 |  1.0035745 | 0.0085223248 |   1.452 |
|       -2.0191896 | 0.99703128 |  0.008625834 |   1.447 |
|       -2.0020402 |  1.0087614 | 0.0090381248 |   1.441 |
|       -1.9677348 |  1.0034335 | 0.0086889376 |   1.431 |
|       -1.9505772 | 0.99871219 |  0.008635784 |   1.426 |
|       -1.9334253 |  1.0032715 |  0.008721402 |   1.421 |
|       -1.9162731 |  0.9971783 |  0.008920694 |   1.416 |
|       -1.8991183 |  1.0035088 | 0.0089156908 |   1.411 |
|       -1.8819675 |  1.0018571 | 0.0088921716 |   1.406 |
|       -1.8648166 |  1.0051815 | 0.0089808976 |   1.402 |
|        -1.847663 |  1.0085742 | 0.0089848352 |   1.397 |
|       -1.8305127 |  1.0036141 | 0.0089841112 |   1.392 |
|       -1.8133558 |   1.001349 | 0.0098134264 |   1.388 |
|       -1.7961718 |  1.0006443 | 0.0087981048 |   1.383 |
|       -1.7789818 | 0.99459037 | 0.0087218824 |   1.379 |
|       -1.7618224 |  1.0038217 | 0.0088745588 |   1.375 |
|       -1.7446703 |  1.0023171 | 0.0087270936 |    1.37 |
|       -1.7275163 |  1.0031511 | 0.0086668136 |   1.366 |
|        -1.710335 |  1.0080043 | 0.0085946264 |   1.362 |
|       -1.6931812 | 0.99982535 | 0.0087077304 |   1.358 |
|       -1.6760198 | 0.99712143 | 0.0086118344 |   1.353 |
|       -1.6588624 | 0.99634207 | 0.0086819124 |   1.349 |
|        -1.641703 |  0.9991304 | 0.0087739784 |   1.345 |
|       -1.6245494 | 0.99846356 | 0.0084852484 |   1.341 |
|       -1.6073352 |   1.005064 | 0.0086535984 |   1.338 |
|       -1.5901794 |  1.0051032 | 0.0084328688 |   1.334 |
|       -1.5730222 |  1.0041458 |  0.008501226 |    1.33 |
|         -1.55587 | 0.99333302 | 0.0085028144 |   1.326 |
|       -1.5387079 |  1.0003611 | 0.0084142756 |   1.322 |
|       -1.5215525 | 0.99564731 | 0.0083707792 |   1.319 |
|       -1.5043944 |  1.0010459 | 0.0084846732 |   1.315 |
|       -1.4872407 | 0.99927234 |  0.008482404 |   1.312 |
