| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 |  1.0094042 | 0.0136913092 |    1.59 |
|       -2.3967685 |  1.0074305 |  0.013816998 |   1.582 |
|       -2.3796119 |  1.0156354 | 0.0136855388 |   1.575 |
|       -2.3624283 |  1.0025133 |  0.013599854 |   1.568 |
|       -2.3452542 |  1.0117274 | 0.0134773468 |   1.561 |
|       -2.3280954 |  1.0006964 | 0.0128086504 |   1.555 |
|       -2.3108841 | 0.99787742 | 0.0129698424 |   1.548 |
|       -2.2937279 |  1.0227144 | 0.0138585608 |   1.541 |
|       -2.2765756 |  1.0132805 |  0.013106416 |   1.535 |
|       -2.2594209 |  1.0106328 |  0.013613666 |   1.528 |
|       -2.2422617 |  0.9940092 | 0.0124278992 |   1.522 |
|       -2.2251076 |  1.0000203 | 0.0123114136 |   1.516 |
|        -2.207954 |  1.0010325 | 0.0124930932 |    1.51 |
|       -2.1907916 |  1.0061902 | 0.0119211828 |   1.503 |
|       -2.1736349 |  1.0165525 |  0.012402134 |   1.497 |
|       -2.1564684 |  1.0114795 | 0.0121105512 |   1.492 |
|       -2.1393057 |  1.0080865 |   0.01235073 |   1.486 |
|       -2.1221514 |  1.0002209 | 0.0120178672 |    1.48 |
|       -2.1049994 |  1.0044989 | 0.0121063948 |   1.474 |
|       -2.0878427 |  1.0161827 |  0.012383098 |   1.469 |
|       -2.0706809 |  1.0017834 | 0.0120426312 |   1.463 |
|       -2.0535003 |   1.012068 | 0.0121831848 |   1.457 |
|       -2.0363209 |  1.0120038 | 0.0117041844 |   1.452 |
|       -2.0191896 |  1.0067674 |  0.011830262 |   1.447 |
|       -2.0020402 |  1.0180253 | 0.0128031076 |   1.441 |
|       -1.9848875 |  1.0132508 | 0.0123711792 |   1.436 |
|       -1.9677348 |  1.0152471 |  0.012109022 |   1.431 |
|       -1.9505772 |  1.0051796 | 0.0120077152 |   1.426 |
|       -1.9334253 |  1.0158156 | 0.0121360484 |   1.421 |
|       -1.9162731 |  1.0125366 | 0.0124275744 |   1.416 |
|       -1.8991183 | 0.99557788 | 0.0121473388 |   1.411 |
|       -1.8819675 | 0.99551288 | 0.0119176628 |   1.406 |
|       -1.8648166 |  1.0118856 | 0.0124733704 |   1.402 |
|        -1.847663 |  1.0060515 | 0.0122580868 |   1.397 |
|       -1.8305127 |  1.0166897 | 0.0125240244 |   1.392 |
|       -1.8133558 | 0.98563515 | 0.0131340976 |   1.388 |
|       -1.7961718 | 0.99872671 | 0.0121151644 |   1.383 |
|       -1.7789818 |  1.0089701 | 0.0120263644 |   1.379 |
|       -1.7618224 |  1.0083114 | 0.0120477852 |   1.375 |
|       -1.7446703 | 0.99433929 | 0.0116855528 |    1.37 |
|       -1.7275163 |  1.0043398 | 0.0117896244 |   1.366 |
|        -1.710335 |  1.0132695 | 0.0116305016 |   1.362 |
|       -1.6931812 |  1.0038619 | 0.0115981896 |   1.358 |
|       -1.6760198 |  1.0087962 | 0.0116391068 |   1.353 |
|       -1.6588624 |  1.0113561 | 0.0118770756 |   1.349 |
