| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 |  1.0048321 | 0.0100922736 |    1.59 |
|       -2.3967685 |  1.0038836 | 0.0102299084 |   1.582 |
|       -2.3796119 | 0.99841294 | 0.0099388748 |   1.575 |
|       -2.3624283 | 0.99848505 | 0.0102090528 |   1.568 |
|       -2.3452542 | 0.98865336 | 0.0098063792 |   1.561 |
|       -2.3280954 |   1.002198 |  0.009570526 |   1.555 |
|       -2.3108841 | 0.99611413 | 0.0098905448 |   1.548 |
|       -2.2937279 | 0.99859707 |  0.010154532 |   1.541 |
|       -2.2765756 | 0.99498583 | 0.0096779124 |   1.535 |
|       -2.2594209 |  1.0005967 | 0.0102439096 |   1.528 |
|       -2.2422617 |  1.0048264 | 0.0095115856 |   1.522 |
|       -2.2251076 | 0.99869313 | 0.0092303804 |   1.516 |
|        -2.207954 | 0.99866177 | 0.0093161136 |    1.51 |
|       -2.1907916 | 0.99232291 | 0.0090509496 |   1.503 |
|       -2.1736349 | 0.99991071 | 0.0091993336 |   1.497 |
|       -2.1564684 | 0.99746775 |  0.009002732 |   1.492 |
|       -2.1393057 | 0.99640454 | 0.0092305384 |   1.486 |
|       -2.1221514 | 0.99980578 | 0.0091348564 |    1.48 |
|       -2.1049994 |  1.0038068 | 0.0091059252 |   1.474 |
|       -2.0878427 | 0.99965428 | 0.0093013892 |   1.469 |
|       -2.0706809 | 0.99481064 |  0.009143442 |   1.463 |
|       -2.0535003 |  1.0003375 | 0.0090457984 |   1.457 |
|       -2.0363209 | 0.98715578 | 0.0087768752 |   1.452 |
|       -2.0191896 | 0.98951469 |  0.009029542 |   1.447 |
|       -2.0020402 |  1.0052016 |  0.009556442 |   1.441 |
|       -1.9848875 |  1.0058717 | 0.0091305544 |   1.436 |
|       -1.9677348 | 0.99911862 | 0.0091072216 |   1.431 |
|       -1.9505772 |  1.0012392 | 0.0090365804 |   1.426 |
|       -1.9334253 |  1.0028791 | 0.0091175204 |   1.421 |
|       -1.9162731 | 0.99555241 | 0.0093485988 |   1.416 |
