| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 | 0.99961004 | 0.0130259104 |    1.59 |
|       -2.3967685 | 0.98807719 | 0.0127543348 |   1.582 |
|       -2.3796119 |  1.0042757 | 0.0128969068 |   1.575 |
|       -2.3624283 | 0.99501301 | 0.0128915192 |   1.568 |
|       -2.3452542 | 0.99467429 | 0.0126548944 |   1.561 |
|       -2.3280954 | 0.99687243 | 0.0123961752 |   1.555 |
|       -2.3108841 |  1.0048193 | 0.0127086244 |   1.548 |
|       -2.2937279 | 0.99549262 | 0.0127872948 |   1.541 |
|       -2.2765756 | 0.99788153 | 0.0125250492 |   1.535 |
|       -2.2594209 | 0.99611469 | 0.0129124996 |   1.528 |
|       -2.2422617 | 0.99351013 | 0.0121200148 |   1.522 |
|       -2.2251076 | 0.99071256 | 0.0118004904 |   1.516 |
|        -2.207954 | 0.99815301 | 0.0119634528 |    1.51 |
|       -2.1907916 | 0.99217268 | 0.0118124576 |   1.503 |
|       -2.1736349 |  1.0185122 | 0.0123239692 |   1.497 |
|       -2.1564684 | 0.99815436 | 0.0118597256 |   1.492 |
|       -2.1393057 |  1.0061676 | 0.0120177768 |   1.486 |
|       -2.1221514 |  1.0015127 | 0.0118484504 |    1.48 |
|       -2.1049994 | 0.99966524 | 0.0117421572 |   1.474 |
|       -2.0878427 |  1.0041203 | 0.0119431872 |   1.469 |
|       -2.0706809 | 0.99411312 | 0.0118257884 |   1.463 |
|       -2.0535003 |  0.9999745 |  0.011680636 |   1.457 |
|       -2.0363209 | 0.99978594 | 0.0114889792 |   1.452 |
|       -2.0191896 | 0.98827645 | 0.0116499172 |   1.447 |
|       -2.0020402 | 0.99360239 | 0.0121208848 |   1.441 |
|       -1.9848875 |  1.0019702 | 0.0119394196 |   1.436 |
|       -1.9677348 | 0.99913535 | 0.0117886248 |   1.431 |
|       -1.9505772 | 0.98770965 | 0.0117343824 |   1.426 |
|       -1.9334253 |  1.0101649 | 0.0119575724 |   1.421 |
|       -1.9162731 | 0.99807271 | 0.0122489208 |   1.416 |
|       -1.8991183 | 0.99240369 | 0.0119789116 |   1.411 |
|       -1.8819675 | 0.99634769 |  0.012002528 |   1.406 |
|       -1.8648166 |  1.0091395 | 0.0122847368 |   1.402 |
|        -1.847663 |  1.0090751 | 0.0122574456 |   1.397 |
|       -1.8305127 |   1.002632 | 0.0122767888 |   1.392 |
