| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 |  1.0016139 | 0.0128093436 |    1.59 |
|       -2.3967685 | 0.98929159 | 0.0126380968 |   1.582 |
|       -2.3796119 |    1.00179 | 0.0126505488 |   1.575 |
|       -2.3624283 |  1.0044509 |  0.012818756 |   1.568 |
|       -2.3452542 | 0.99545078 | 0.0124353356 |   1.561 |
|       -2.3280954 |    1.00178 | 0.0123738944 |   1.555 |
|       -2.3108841 |  1.0045079 | 0.0126635892 |   1.548 |
|       -2.2937279 |  1.0076498 | 0.0128647844 |   1.541 |
|       -2.2765756 |  1.0160513 | 0.0125031744 |   1.535 |
|       -2.2594209 | 0.99776028 | 0.0127376636 |   1.528 |
|       -2.2422617 |  1.0145629 | 0.0122204188 |   1.522 |
|       -2.2251076 |  1.0083967 | 0.0119912872 |   1.516 |
|        -2.207954 |  1.0057907 |  0.011998392 |    1.51 |
|       -2.1907916 |   1.000432 | 0.0117135472 |   1.503 |
|       -2.1736349 |  1.0160769 | 0.0120209676 |   1.497 |
|       -2.1564684 |  1.0117356 | 0.0118885964 |   1.492 |
|       -2.1393057 | 0.98789813 | 0.0119266888 |   1.486 |
|       -2.1221514 |  1.0031481 | 0.0118311392 |    1.48 |
|       -2.1049994 |  1.0066413 |  0.011831534 |   1.474 |
|       -2.0878427 |   1.001871 |   0.01176936 |   1.469 |
|       -2.0706809 |  1.0023249 | 0.0116991112 |   1.463 |
|       -2.0535003 | 0.99851056 | 0.0115043404 |   1.457 |
|       -2.0363209 |  1.0079574 |  0.011586276 |   1.452 |
|       -2.0191896 |  1.0102716 |  0.011786438 |   1.447 |
|       -2.0020402 | 0.99768759 |   0.01186873 |   1.441 |
|       -1.9848875 |  1.0041922 | 0.0115571668 |   1.436 |
|       -1.9677348 |  1.0061534 | 0.0117037904 |   1.431 |
|       -1.9505772 |  1.0011386 |   0.01158402 |   1.426 |
|       -1.9334253 |   1.001453 | 0.0115920148 |   1.421 |
|       -1.9162731 | 0.99746753 |  0.011973016 |   1.416 |
|       -1.8991183 |   1.013147 | 0.0120588008 |   1.411 |
|       -1.8819675 |  1.0082735 | 0.0119736532 |   1.406 |
|       -1.8648166 |  1.0066378 | 0.0118622184 |   1.402 |
|        -1.847663 |  0.9984469 | 0.0117254932 |   1.397 |
|       -1.8305127 | 0.99050089 | 0.0116905688 |   1.392 |
|       -1.8133558 | 0.99995458 | 0.0129759604 |   1.388 |
|       -1.7961718 |  1.0029515 | 0.0118297404 |   1.383 |
|       -1.7789818 | 0.99950045 | 0.0116167068 |   1.379 |
|       -1.7618224 | 0.99981517 | 0.0116053216 |   1.375 |
|       -1.7446703 | 0.99997721 | 0.0116185924 |    1.37 |
|       -1.7275163 | 0.99787342 | 0.0114002176 |   1.366 |
|        -1.710335 |  1.0141003 | 0.0113956744 |   1.362 |
|       -1.6931812 |  1.0060544 | 0.0116115172 |   1.358 |
|       -1.6760198 | 0.99984633 | 0.0113400056 |   1.353 |
|       -1.6588624 | 0.99993966 | 0.0115470444 |   1.349 |
|        -1.641703 |  1.0068947 | 0.0117167772 |   1.345 |
|       -1.6245494 |    1.00073 | 0.0111655792 |   1.341 |
|       -1.6073352 |  1.0117962 | 0.0115622084 |   1.338 |
|       -1.5901794 |  1.0030012 |  0.011092186 |   1.334 |
|       -1.5730222 | 0.99677188 |  0.010988366 |    1.33 |
|         -1.55587 |  0.9984014 | 0.0111040696 |   1.326 |
|       -1.5387079 | 0.99381032 | 0.0108984928 |   1.322 |
|       -1.5215525 |  1.0017261 | 0.0110988544 |   1.319 |
|       -1.5043944 |  1.0046063 | 0.0111475556 |   1.315 |
|       -1.4872407 | 0.99418678 | 0.0109493284 |   1.312 |
|       -1.4700676 | 0.99652099 | 0.0111280984 |   1.308 |
|       -1.4528847 | 0.99602119 | 0.0108130916 |   1.305 |
|       -1.4357223 |  1.0058681 | 0.0112097932 |   1.301 |
|       -1.4185246 | 0.99774777 | 0.0109064824 |   1.298 |
|       -1.4013444 |  1.0092241 |  0.011022218 |   1.295 |
|       -1.3841855 |  1.0026131 | 0.0111022268 |   1.291 |
|       -1.3669997 |   1.003259 |  0.010788414 |   1.288 |
|       -1.3498463 |  1.0023723 | 0.0106869768 |   1.285 |
|       -1.3326628 |   1.006268 | 0.0112645076 |   1.282 |
|       -1.3154663 |   1.004182 | 0.0108018704 |   1.279 |
|       -1.2982878 |   1.002769 | 0.0108675716 |   1.276 |
|       -1.2811327 |  1.0070916 |  0.010945152 |   1.273 |
|       -1.2639686 |  1.0050973 | 0.0106443548 |    1.27 |
|       -1.2468145 |  1.0033326 |  0.010745504 |   1.267 |
|       -1.2296646 |  1.0037394 |  0.010879068 |   1.264 |
|       -1.2125125 |  1.0050882 |  0.010551556 |   1.261 |
|       -1.1953755 | 0.99929183 | 0.0106101784 |   1.258 |
|       -1.1782241 |  1.0024932 | 0.0106993592 |   1.255 |
|       -1.1610706 |  1.0183738 | 0.0108211192 |   1.253 |
|       -1.1439169 |  1.0032716 | 0.0108858192 |    1.25 |
|       -1.1267321 |  1.0034043 | 0.0107602876 |   1.247 |
|       -1.1095584 | 0.99781142 | 0.0108272544 |   1.245 |
|       -1.0924102 |  1.0046142 |  0.010851896 |   1.242 |
|       -1.0752579 | 0.99970178 | 0.0106877632 |    1.24 |
|       -1.0580962 | 0.99684921 | 0.0107044312 |   1.237 |
|       -1.0409426 |  1.0040725 | 0.0106177252 |   1.235 |
|       -1.0237881 | 0.99661647 | 0.0106354284 |   1.232 |
|       -1.0066325 |  1.0074009 | 0.0108117964 |    1.23 |
|      -0.98947485 | 0.99420941 | 0.0107083372 |   1.227 |
|      -0.97231195 |  1.0023339 | 0.0106312652 |   1.225 |
|      -0.95515907 |  1.0030285 |  0.010842438 |   1.223 |
|      -0.93798331 |  1.0015829 | 0.0106385024 |    1.22 |
|      -0.92082277 | 0.99806099 | 0.0106118244 |   1.218 |
|      -0.88647098 | 0.99341935 | 0.0106006064 |   1.214 |
|      -0.86930338 | 0.99806787 | 0.0109204236 |   1.212 |
|      -0.85214707 | 0.99145987 | 0.0108217428 |    1.21 |
|      -0.83499177 | 0.99654361 |  0.010819218 |   1.208 |
|      -0.81781283 |  0.9898945 | 0.0106219992 |   1.206 |
|      -0.80065585 |  0.9983026 | 0.0105943672 |   1.204 |
|      -0.78350712 | 0.99408102 | 0.0109004512 |   1.202 |
|      -0.76631989 |  0.9902945 | 0.0109239012 |     1.2 |
|      -0.74916646 | 0.99952913 | 0.0105842824 |   1.198 |
|      -0.73201772 |  1.0053588 | 0.0106413844 |   1.196 |
|      -0.71485827 |  1.0026909 | 0.0106134148 |   1.194 |
|      -0.69768679 |  1.0087805 | 0.0108304568 |   1.192 |
|      -0.68053768 | 0.99688046 | 0.0106118976 |   1.191 |
|      -0.66338503 | 0.99796294 |  0.010721274 |   1.189 |
|      -0.64623282 |  1.0022105 |  0.010958894 |   1.187 |
|      -0.62907667 | 0.99604183 | 0.0109740672 |   1.185 |
|      -0.61190716 | 0.98679195 |  0.010880622 |   1.184 |
|      -0.59474967 |  1.0073238 | 0.0108109068 |   1.182 |
|       -0.5775946 | 0.99909713 | 0.0105945028 |   1.181 |
|      -0.56041372 | 0.99715232 |  0.010704182 |   1.179 |
|      -0.54326313 | 0.99625924 | 0.0106240744 |   1.178 |
|      -0.52607189 | 0.99320882 | 0.0104433828 |   1.176 |
|      -0.50891352 |  1.0054311 |   0.01049147 |   1.175 |
|      -0.49168405 |  1.0020043 | 0.0105307012 |   1.173 |
|      -0.47451943 |  1.0022839 | 0.0108119648 |   1.172 |
|      -0.45732503 |   1.004791 | 0.0108040292 |    1.17 |
|      -0.44017357 |  1.0006576 | 0.0105889584 |   1.169 |
|      -0.42301279 |    1.00047 | 0.0105107812 |   1.168 |
|      -0.40583064 |  1.0036951 | 0.0106530588 |   1.166 |
|        -0.388651 |   1.005556 | 0.0105060244 |   1.165 |
|        -0.371495 | 0.99879775 |  0.010510864 |   1.164 |
|      -0.35434107 |  1.0087779 | 0.0105336584 |   1.163 |
|      -0.33717167 | 0.99860886 | 0.0103782388 |   1.161 |
|      -0.32001138 | 0.99964956 |  0.010342996 |    1.16 |
|       -0.3028569 | 0.99375337 | 0.0103573804 |   1.159 |
|      -0.28569942 |  1.0008174 |  0.010634198 |   1.158 |
|      -0.26853983 | 0.99929316 | 0.0104597984 |   1.157 |
|      -0.25137686 |  1.0017078 | 0.0104292364 |   1.156 |
|      -0.23421697 |  1.0052045 | 0.0103898072 |   1.155 |
|      -0.21703383 |  1.0015398 |  0.010266504 |   1.154 |
|      -0.19983917 |  1.0027381 | 0.0104965888 |   1.153 |
|      -0.18265923 | 0.99921118 | 0.0104341764 |   1.152 |
|      -0.16550921 |  1.0045037 | 0.0103641976 |   1.151 |
|      -0.14835759 | 0.99107171 | 0.0102988436 |    1.15 |
|      -0.13120325 |  1.0039227 | 0.0103337408 |   1.149 |
|      -0.11404668 | 0.99831976 | 0.0101844164 |   1.148 |
|     -0.096892018 |  1.0049978 |  0.010291804 |   1.147 |
|     -0.079706144 |  1.0074597 | 0.0106029984 |   1.147 |
|     -0.062549081 |  1.0029583 | 0.0103440056 |   1.146 |
|     -0.045385737 |    1.00105 | 0.0103598404 |   1.145 |
|     -0.028229568 |  1.0015664 | 0.0106248132 |   1.144 |
|     -0.011077188 | 0.99447729 | 0.0105064776 |   1.144 |
|      0.006082993 |  1.0031636 | 0.0105585116 |   1.143 |
|      0.023241006 |  1.0011548 | 0.0104536616 |   1.142 |
|      0.040394884 |  1.0016957 |  0.010536338 |   1.142 |
|      0.057586715 | 0.99876485 |  0.010488908 |   1.141 |
|      0.074738078 |   1.006896 | 0.0106441396 |   1.141 |
|      0.091926958 | 0.99919676 |  0.010327808 |    1.14 |
|       0.10908441 |  1.0085691 | 0.0104189796 |    1.14 |
|       0.12624985 | 0.99684714 | 0.0103095836 |   1.139 |
|       0.14343952 | 0.99094532 | 0.0101517168 |   1.139 |
|        0.1605991 | 0.99703106 | 0.0102128188 |   1.138 |
|        0.1778141 | 0.99409486 | 0.0100102724 |   1.138 |
|       0.19497075 | 0.98845653 | 0.0100226364 |   1.137 |
|       0.21213238 | 0.99598812 |  0.010143942 |   1.137 |
|       0.22931802 |  1.0001076 | 0.0102572536 |   1.137 |
|       0.24653504 | 0.99569545 | 0.0102000552 |   1.136 |
|        0.2637868 |  1.0078084 | 0.0106020304 |   1.136 |
|       0.28097971 | 0.99882353 | 0.0102145088 |   1.136 |
|       0.29821431 |  1.0022279 | 0.0103535368 |   1.136 |
|       0.31541125 | 0.99502085 | 0.0102949848 |   1.135 |
|       0.33270907 | 0.99431376 |   0.01014637 |   1.135 |
|       0.35002717 |  1.0040138 | 0.0103378656 |   1.135 |
|       0.36729911 |  1.0016057 | 0.0102954044 |   1.135 |
|        0.3844354 | 0.99719468 | 0.0103405404 |   1.135 |
|       0.40167135 |  1.0019093 | 0.0104642264 |   1.135 |
|       0.41898493 | 0.99939146 | 0.0103273516 |   1.134 |
|       0.43629516 | 0.99750483 |  0.010434698 |   1.134 |
