| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 | 0.99982872 | 0.0121079548 |    1.59 |
|       -2.3967685 | 0.98839674 | 0.0120138928 |   1.582 |
|       -2.3796119 |   1.004042 | 0.0118696944 |   1.575 |
|       -2.3624283 |  0.9915888 | 0.0119789128 |   1.568 |
|       -2.3452542 | 0.99409594 | 0.0117522612 |   1.561 |
|       -2.3108841 | 0.99339806 |  0.011786406 |   1.548 |
|       -2.2937279 | 0.99267048 | 0.0118604088 |   1.541 |
|       -2.2765756 | 0.99929528 | 0.0118644368 |   1.535 |
|       -2.2594209 |  1.0048482 | 0.0121543428 |   1.528 |
|       -2.2422617 |  1.0070917 | 0.0115641812 |   1.522 |
|       -2.2251076 | 0.98843624 | 0.0112409768 |   1.516 |
|        -2.207954 | 0.99473941 | 0.0113421288 |    1.51 |
|       -2.1907916 |  0.9878682 | 0.0111839232 |   1.503 |
|       -2.1736349 |  1.0019958 | 0.0113289464 |   1.497 |
|       -2.1564684 | 0.98158095 | 0.0112327544 |   1.492 |
|       -2.1393057 | 0.99419556 |  0.011323584 |   1.486 |
|       -2.1221514 | 0.98392488 |  0.011167918 |    1.48 |
|       -2.1049994 | 0.98814982 | 0.0110882612 |   1.474 |
|       -2.0878427 |  1.0042289 | 0.0114697588 |   1.469 |
|       -2.0706809 | 0.99109946 | 0.0112416776 |   1.463 |
|       -2.0535003 |  1.0009349 | 0.0113284828 |   1.457 |
|       -2.0363209 | 0.98875584 | 0.0110937392 |   1.452 |
|       -2.0191896 | 0.98071414 | 0.0112222104 |   1.447 |
|       -2.0020402 |  1.0104126 | 0.0116674652 |   1.441 |
|       -1.9848875 |   1.004267 | 0.0112069616 |   1.436 |
|       -1.9677348 | 0.99735047 | 0.0112256108 |   1.431 |
|       -1.9505772 | 0.99121521 | 0.0112057048 |   1.426 |
|       -1.9334253 | 0.99828934 |  0.011275564 |   1.421 |
|       -1.9162731 | 0.98873042 |   0.01148355 |   1.416 |
|       -1.8991183 |  1.0035543 | 0.0114839272 |   1.411 |
|       -1.8819675 | 0.99091899 | 0.0114381604 |   1.406 |
|       -1.8648166 |  1.0012472 | 0.0115436236 |   1.402 |
|        -1.847663 |  1.0133439 | 0.0116061384 |   1.397 |
|       -1.8305127 | 0.99577332 | 0.0115088644 |   1.392 |
|       -1.8133558 |  1.0043536 | 0.0127618256 |   1.388 |
|       -1.7961718 |  1.0053995 |  0.011566624 |   1.383 |
|       -1.7789818 | 0.99870437 | 0.0114117576 |   1.379 |
|       -1.7618224 |  1.0026268 | 0.0114396312 |   1.375 |
|       -1.7446703 | 0.99445136 |  0.011343494 |    1.37 |
|       -1.7275163 | 0.99823473 | 0.0113404232 |   1.366 |
|        -1.710335 |  1.0020725 | 0.0111452968 |   1.362 |
|       -1.6931812 | 0.98595084 | 0.0112956272 |   1.358 |
|       -1.6760198 | 0.98443596 | 0.0111759668 |   1.353 |
|       -1.6588624 |  1.0036983 | 0.0114218704 |   1.349 |
|        -1.641703 |  1.0015647 | 0.0114687324 |   1.345 |
|       -1.6245494 |  1.0022116 |  0.011035876 |   1.341 |
|       -1.6073352 | 0.99050875 | 0.0111101156 |   1.338 |
|       -1.5901794 | 0.99919515 | 0.0109650716 |   1.334 |
|       -1.5730222 | 0.99375144 | 0.0109710604 |    1.33 |
|         -1.55587 | 0.98657349 |  0.011073242 |   1.326 |
|       -1.5387079 | 0.99762739 | 0.0108984236 |   1.322 |
|       -1.5215525 | 0.99828087 | 0.0110244428 |   1.319 |
|       -1.5043944 | 0.99407389 | 0.0110899304 |   1.315 |
|       -1.4872407 |  1.0065347 | 0.0110573068 |   1.312 |
|       -1.4700676 |  1.0020074 | 0.0111402992 |   1.308 |
|       -1.4528847 | 0.99309204 | 0.0107654004 |   1.305 |
|       -1.4357223 | 0.99491457 | 0.0109987848 |   1.301 |
|       -1.4185246 |  1.0015289 | 0.0109555868 |   1.298 |
|       -1.4013444 | 0.99693196 | 0.0109004508 |   1.295 |
