| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 |  1.0070942 | 0.0108691556 |   1.416 |
|        -4.4866787 | 0.99935979 | 0.0112309348 |   1.408 |
|        -4.4653956 |  1.0223486 | 0.0112143904 |   1.401 |
|        -4.4441073 | 0.99832313 | 0.0113167568 |   1.394 |
|        -4.4228128 | 0.99099805 |   0.01111741 |   1.387 |
|        -4.4015156 |  1.0095929 |   0.01119388 |    1.38 |
|        -4.3802279 |  1.0168779 |   0.01117892 |   1.373 |
|        -4.3589434 |  1.0283792 | 0.0115066456 |   1.366 |
|        -4.3376587 |  1.0158496 | 0.0115046224 |    1.36 |
|        -4.3163706 |  1.0193446 |  0.011579874 |   1.353 |
|        -4.2950823 | 0.99882668 |  0.011579924 |   1.347 |
|        -4.2737971 |  1.0095969 | 0.0119287612 |   1.341 |
|         -4.252515 |  1.0116675 | 0.0117265372 |   1.334 |
|        -4.2312308 |  1.0178664 | 0.0111116296 |   1.328 |
|        -4.2099406 |  1.0026476 | 0.0111721536 |   1.322 |
|        -4.1886509 |  1.0350015 |  0.011592726 |   1.316 |
|        -4.1673621 |  1.0049587 | 0.0108293888 |    1.31 |
|        -4.1460789 | 0.99228278 |  0.010475106 |   1.305 |
|        -4.1247933 |  1.0071252 |  0.010707084 |   1.299 |
|        -4.1035074 | 0.98358897 | 0.0101220564 |   1.293 |
|        -4.0822223 | 0.99325629 |  0.010444854 |   1.288 |
|        -4.0609334 | 0.99004682 |  0.010267876 |   1.282 |
|        -4.0396478 |  1.0077624 |  0.010581472 |   1.277 |
|          -4.01836 |  1.0020462 | 0.0105426348 |   1.272 |
|        -3.9970688 |  1.0104692 |  0.010565134 |   1.266 |
|        -3.9757763 |  1.0107182 |  0.010705702 |   1.261 |
|        -3.9544877 | 0.99923421 | 0.0104952544 |   1.256 |
|        -3.9332025 |  1.0072712 | 0.0105810676 |   1.251 |
|        -3.9119164 |  1.0052876 | 0.0104699168 |   1.246 |
|         -3.890629 |  1.0115424 | 0.0108494468 |   1.242 |
|        -3.8693396 |  1.0062597 |   0.01093687 |   1.237 |
|        -3.8480549 |  1.0248477 |  0.011297952 |   1.232 |
|        -3.8267708 |  1.0160177 | 0.0109118432 |   1.228 |
|        -3.8054845 |  1.0090864 | 0.0109873972 |   1.223 |
|        -3.7841999 |  1.0037903 | 0.0108551824 |   1.219 |
|        -3.7629137 |  1.0246931 | 0.0108750196 |   1.214 |
|         -3.741633 |  1.0014366 | 0.0107613592 |    1.21 |
|        -3.7203483 |   1.005991 | 0.0108225828 |   1.206 |
|        -3.6990596 |  1.0084703 | 0.0108251284 |   1.201 |
|        -3.6777688 |   1.007861 | 0.0109113548 |   1.197 |
|        -3.6564842 | 0.99591057 | 0.0162410812 |   1.193 |
|        -3.6351994 |  1.0085258 | 0.0107381136 |   1.189 |
|        -3.6139144 |  1.0247251 | 0.0110705408 |   1.185 |
|        -3.5926299 |  1.0036828 | 0.0108798816 |   1.181 |
|        -3.5713435 |  1.0054773 | 0.0108724944 |   1.177 |
|         -3.550055 |  1.0190592 | 0.0112909904 |   1.173 |
|         -3.528766 |  1.0053679 | 0.0110528276 |    1.17 |
|         -3.507487 | 0.99352921 | 0.0109993676 |   1.166 |
|        -3.4862004 |  1.0000279 | 0.0109404236 |   1.162 |
|        -3.4649138 |  1.0192891 | 0.0107900304 |   1.159 |
|        -3.4436293 |  1.0280991 | 0.0113470528 |   1.155 |
|        -3.4223535 |  1.0097233 | 0.0111022112 |   1.152 |
|        -3.4010635 |  1.0080126 | 0.0108158196 |   1.148 |
|        -3.3797848 |  1.0372778 | 0.0113619384 |   1.145 |
|        -3.3584981 |  1.0180974 | 0.0107951208 |   1.142 |
|        -3.3372108 |  1.0061989 | 0.0103840032 |   1.139 |
|        -3.3159238 |  1.0042806 |  0.010380248 |   1.135 |
|        -3.2946643 |  1.0038787 | 0.0105970888 |   1.132 |
|        -3.2733795 |  1.0152054 | 0.0108318708 |   1.129 |
|        -3.2520884 |  1.0176586 | 0.0108987636 |   1.126 |
|        -3.2307875 |  1.0040901 | 0.0108029164 |   1.123 |
|        -3.2095167 |  1.0035522 | 0.0107597516 |    1.12 |
|        -3.1882283 |  1.0158799 |  0.010905534 |   1.117 |
|        -3.1669402 |  1.0020116 | 0.0108009184 |   1.114 |
|        -3.1456558 |  1.0046151 | 0.0106894608 |   1.111 |
|        -3.1243688 |  1.0089817 | 0.0106937268 |   1.109 |
|        -3.1030767 |  1.0096372 | 0.0107871392 |   1.106 |
|        -3.0817351 |  1.0042665 | 0.0107288168 |   1.103 |
|        -3.0604299 |  1.0231086 | 0.0109539356 |   1.101 |
|          -3.03914 |  1.0163823 | 0.0109375572 |   1.098 |
|        -3.0178195 |  1.0226306 | 0.0110455992 |   1.095 |
|        -2.9965365 | 0.99544183 | 0.0107375336 |   1.093 |
|        -2.9752419 |  1.0069594 | 0.0106291132 |    1.09 |
|        -2.9539556 | 0.98329921 | 0.0103590512 |   1.088 |
|        -2.9326723 | 0.99274258 | 0.0105180648 |   1.086 |
|        -2.9113919 | 0.99266321 | 0.0104434124 |   1.083 |
|         -2.890105 |  1.0022979 | 0.0107330444 |   1.081 |
|          -2.86881 | 0.99606366 | 0.0108297352 |   1.079 |
|        -2.8475259 | 0.99406869 | 0.0106852656 |   1.076 |
|        -2.8262412 |  1.0195367 | 0.0109566028 |   1.074 |
|        -2.8049542 | 0.99891673 | 0.0107099312 |   1.072 |
|         -2.783667 |  1.0105023 | 0.0107259016 |    1.07 |
|        -2.7623799 |  1.0154004 | 0.0108697548 |   1.068 |
|        -2.7410997 |   1.000779 |  0.010580402 |   1.066 |
|        -2.7198104 | 0.99770541 |  0.011070434 |   1.064 |
|        -2.6985222 |  1.0133034 | 0.0110190548 |   1.062 |
|        -2.6772096 |  1.0151181 | 0.0107762432 |    1.06 |
|        -2.6559244 |  1.0229232 | 0.0107797316 |   1.058 |
|        -2.6346418 |  1.0048185 | 0.0107426332 |   1.056 |
|        -2.6133788 |  1.0136263 | 0.0110885716 |   1.055 |
|        -2.5920948 |  1.0221222 |  0.011112904 |   1.053 |
|         -2.570812 |  1.0106727 |  0.010808998 |   1.051 |
|        -2.5494897 | 0.99616275 | 0.0106258692 |   1.049 |
|        -2.5282015 | 0.99544707 | 0.0106312968 |   1.048 |
|        -2.5069191 |        1.0 | 0.0107867116 |   1.046 |
|        -2.4856354 |   1.000265 | 0.0105549092 |   1.044 |
|        -2.4643516 | 0.99237365 | 0.0105361348 |   1.043 |
|        -2.4430683 | 0.98739727 | 0.0104709932 |   1.041 |
|        -2.4217818 |  1.0008229 | 0.0105081892 |    1.04 |
|        -2.4004989 |  1.0188695 | 0.0107754768 |   1.038 |
|        -2.3792167 |  1.0086171 | 0.0106344516 |   1.037 |
|        -2.3579327 |  1.0110562 |  0.010933032 |   1.036 |
|         -2.336646 | 0.99923616 |  0.010575102 |   1.034 |
|        -2.3153603 | 0.98992196 |  0.010356488 |   1.033 |
|         -2.294074 |  1.0089801 | 0.0105684452 |   1.032 |
|        -2.2727892 |  1.0023527 | 0.0106345384 |    1.03 |
|         -2.251503 |  1.0065141 | 0.0106029804 |   1.029 |
|        -2.2302154 | 0.98466403 | 0.0102262876 |   1.028 |
|        -2.2089278 |  1.0061926 |  0.010600776 |   1.027 |
|        -2.1876383 |  1.0019044 | 0.0104555368 |   1.026 |
|        -2.1663489 |  1.0097481 | 0.0107752196 |   1.024 |
|        -2.1450635 |  1.0039883 | 0.0107587764 |   1.023 |
|        -2.1237799 | 0.99851597 | 0.0105743276 |   1.022 |
|        -2.1024884 | 0.99551566 | 0.0104658544 |   1.021 |
|        -2.0811985 | 0.99376425 | 0.0104577032 |    1.02 |
|        -2.0599118 |  1.0006886 |  0.010641048 |   1.019 |
|        -2.0386263 | 0.99300524 | 0.0105041348 |   1.018 |
|        -2.0173329 | 0.98977862 | 0.0104919936 |   1.018 |
|        -1.9747869 |  1.0073563 |  0.010743938 |   1.016 |
|        -1.9534993 | 0.99333124 | 0.0105847328 |   1.015 |
|        -1.9322144 |  1.0169111 |  0.010695726 |   1.014 |
|        -1.9109266 | 0.97657347 |  0.010338094 |   1.014 |
|        -1.8896425 | 0.99070325 | 0.0104973644 |   1.013 |
|        -1.8683515 |  1.0143374 | 0.0105797536 |   1.012 |
|        -1.8470625 | 0.99899271 | 0.0102535156 |   1.012 |
|        -1.8257635 |  1.0107316 |  0.010712202 |   1.011 |
|        -1.8044778 | 0.99549173 | 0.0103522244 |    1.01 |
|        -1.7832113 |  1.0195884 | 0.0108496832 |    1.01 |
|        -1.7619204 |  1.0031308 | 0.0105511156 |   1.009 |
|        -1.7406241 |  1.0023712 | 0.0103902604 |   1.009 |
|        -1.7193345 | 0.99624253 | 0.0107974768 |   1.008 |
|        -1.6980541 |  1.0076744 | 0.0109629816 |   1.008 |
|        -1.6767681 |    1.00721 | 0.0107531112 |   1.007 |
|        -1.6554749 | 0.99148691 | 0.0103636476 |   1.007 |
|        -1.6341845 | 0.99111089 | 0.0102820396 |   1.007 |
|        -1.6128945 | 0.99532796 | 0.0102812132 |   1.006 |
|        -1.5916034 |   1.002379 | 0.0102786336 |   1.006 |
|        -1.5703135 |  1.0004174 | 0.0102985784 |   1.006 |
|        -1.5490272 |   1.013586 | 0.0107566288 |   1.006 |
|        -1.5277421 |  1.0130696 | 0.0104747272 |   1.005 |
|        -1.5064534 | 0.99738885 | 0.0102565548 |   1.005 |
|        -1.4851331 | 0.99992689 |  0.010346764 |   1.005 |
|         -1.463762 |  0.9977126 |  0.010257532 |   1.005 |
|        -1.4424256 |  1.0036004 | 0.0104410596 |   1.005 |
|          -1.42107 | 0.99396776 | 0.0102155224 |   1.005 |
|        -1.3997464 |   1.003963 | 0.0102065588 |   1.005 |
|        -1.3784496 |  0.9881724 | 0.0099758632 |   1.005 |
|        -1.3571502 |  1.0033914 | 0.0100878164 |   1.005 |
|        -1.3358176 |   0.993981 | 0.0100064916 |   1.005 |
|        -1.3144943 | 0.99214159 | 0.0099078568 |   1.005 |
|        -1.2931982 |  0.9850882 | 0.0099082516 |   1.005 |
|        -1.2718925 | 0.99105144 | 0.0099332228 |   1.005 |
|        -1.2505543 |  1.0118947 | 0.0103351644 |   1.005 |
|        -1.2292571 |  0.9983487 | 0.0102708532 |   1.006 |
|        -1.2079121 |  1.0189106 |  0.010788202 |   1.006 |
|        -1.1864119 | 0.99567317 | 0.0099952448 |   1.006 |
|        -1.1648556 | 0.99896971 | 0.0100749624 |   1.006 |
|        -1.1432757 | 0.99110833 | 0.0100657964 |   1.007 |
|        -1.1217138 |   0.976161 | 0.0098782452 |   1.007 |
|        -1.1001447 |  0.9967703 | 0.0102496792 |   1.007 |
|        -1.0786917 |  1.0170731 | 0.0109062856 |   1.008 |
|        -1.0572883 | 0.98757398 | 0.0102531312 |   1.008 |
|        -1.0359918 |  1.0011201 | 0.0103239772 |   1.009 |
|         -1.014699 | 0.99819981 | 0.0101753744 |   1.009 |
|       -0.99341132 | 0.97313769 | 0.0101236388 |    1.01 |
|       -0.97212387 | 0.99884444 | 0.0101361088 |    1.01 |
|       -0.95083896 | 0.98591816 | 0.0099750628 |   1.011 |
|       -0.92955304 |  1.0031988 | 0.0101966268 |   1.011 |
|       -0.90826621 | 0.99161936 |  0.010044634 |   1.012 |
|       -0.88698229 | 0.99988715 | 0.0102317336 |   1.013 |
|       -0.86567354 | 0.99425608 | 0.0101849492 |   1.013 |
|       -0.84438941 | 0.98357757 | 0.0099068616 |   1.014 |
|       -0.82310593 | 0.99572862 | 0.0100996248 |   1.015 |
|       -0.80182615 | 0.99756135 | 0.0100185844 |   1.016 |
|       -0.78054763 | 0.98698881 | 0.0100087808 |   1.016 |
|       -0.75925862 | 0.99976322 | 0.0101117496 |   1.017 |
|       -0.73797115 |  0.9785479 | 0.0098609788 |   1.018 |
|       -0.71670296 | 0.98109919 |  0.009895096 |   1.019 |
|       -0.69542237 |  1.0114205 | 0.0102589608 |    1.02 |
|       -0.67411321 |  1.0063433 | 0.0101631332 |   1.021 |
|       -0.65283032 |  1.0048261 | 0.0101783964 |   1.022 |
|       -0.63155042 | 0.99778242 | 0.0101149888 |   1.023 |
|       -0.61026839 | 0.97734007 | 0.0099998632 |   1.024 |
|       -0.58898444 | 0.99195903 | 0.0101075784 |   1.025 |
|       -0.56766572 | 0.97365243 |   0.00998704 |   1.026 |
|       -0.54637922 | 0.99637458 | 0.0101284896 |   1.027 |
|        -0.5250935 |  1.0020233 | 0.0101109452 |   1.029 |
|       -0.50380809 |  1.0080623 | 0.0099422708 |    1.03 |
|       -0.48252201 |  1.0061722 | 0.0102390584 |   1.031 |
|       -0.46121979 | 0.99917753 | 0.0101810596 |   1.032 |
|       -0.43993957 |  1.0062653 | 0.0101492616 |   1.034 |
|        -0.4186607 | 0.99974176 | 0.0099237324 |   1.035 |
|         -0.397377 |  1.0151644 |  0.010320746 |   1.036 |
|       -0.37609053 |  1.0013993 | 0.0100646844 |   1.038 |
|       -0.35480246 | 0.99770767 | 0.0095760116 |   1.039 |
|       -0.33352101 | 0.98493274 | 0.0096896156 |   1.041 |
|       -0.31223339 | 0.98328473 | 0.0097550852 |   1.042 |
|       -0.29094817 | 0.98846576 | 0.0100511028 |   1.044 |
|       -0.26966213 | 0.98529941 | 0.0100694544 |   1.045 |
|       -0.24837996 | 0.99983684 | 0.0100207128 |   1.047 |
|       -0.22709475 |  1.0093871 | 0.0103038784 |   1.049 |
|       -0.20581328 |  1.0074093 | 0.0101322688 |    1.05 |
|       -0.18454986 | 0.97774032 | 0.0098663496 |   1.052 |
|       -0.16326788 | 0.99650026 | 0.0099869108 |   1.054 |
|       -0.14198078 |  1.0017718 | 0.0100732112 |   1.056 |
|        -0.1206947 | 0.97959996 | 0.0097520668 |   1.057 |
|      -0.099403773 |  1.0019987 | 0.0100259968 |   1.059 |
|      -0.078121606 | 0.99196303 | 0.0099091012 |   1.061 |
|      -0.056835741 | 0.98122476 | 0.0097810936 |   1.063 |
|      -0.035551451 | 0.99068138 | 0.0098798028 |   1.065 |
|      -0.014262501 |  1.0050662 | 0.0099829496 |   1.067 |
|      0.0070317909 | 0.99981928 |  0.009912014 |   1.069 |
|       0.028319634 | 0.99783766 | 0.0099996448 |   1.071 |
|       0.049611636 | 0.99022374 |  0.010036682 |   1.073 |
|       0.070890438 |   1.002905 | 0.0102221116 |   1.076 |
|       0.092175856 |  1.0057382 | 0.0100009396 |   1.078 |
|        0.11345667 | 0.98719098 | 0.0097102108 |    1.08 |
|        0.13474718 | 0.99068518 |   0.00966578 |   1.082 |
