| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 |  1.0080971 | 0.0078488716 |   1.416 |
|        -4.4866787 | 0.99969843 | 0.0077306744 |   1.408 |
|        -4.4653956 |  1.0052036 | 0.0077562964 |   1.401 |
|        -4.4441073 |  1.0046836 |  0.007818506 |   1.394 |
|        -4.4228128 | 0.99947723 | 0.0078278756 |   1.387 |
|        -4.4015156 |  1.0098592 | 0.0077740408 |    1.38 |
|        -4.3802279 |  1.0058406 | 0.0077225872 |   1.373 |
|        -4.3589434 |  1.0110297 |  0.007845984 |   1.366 |
|        -4.3376587 |  1.0098804 | 0.0079192748 |    1.36 |
|        -4.3163706 |  1.0080984 | 0.0079700808 |   1.353 |
|        -4.2950823 |  1.0068726 | 0.0081987384 |   1.347 |
|        -4.2737971 |  1.0108531 |  0.008338244 |   1.341 |
|         -4.252515 |  1.0005951 |  0.008112148 |   1.334 |
|        -4.2312308 |  1.0027836 | 0.0077403128 |   1.328 |
|        -4.2099406 |   1.002472 |  0.007792678 |   1.322 |
|        -4.1886509 | 0.99795393 | 0.0076632624 |   1.316 |
|        -4.1673621 |  1.0020243 |  0.007646832 |    1.31 |
|        -4.1460789 |  1.0002091 | 0.0075221792 |   1.305 |
|        -4.1247933 |  1.0051454 | 0.0075685984 |   1.299 |
|        -4.1035074 |  1.0023804 | 0.0075009732 |   1.293 |
|        -4.0822223 |  1.0053017 | 0.0075672864 |   1.288 |
|        -4.0609334 |  1.0083507 | 0.0075267948 |   1.282 |
|        -4.0396478 |  1.0027769 | 0.0075481424 |   1.277 |
|          -4.01836 |   1.003357 | 0.0075505676 |   1.272 |
|        -3.9757763 |  1.0039816 | 0.0075631928 |   1.261 |
|        -3.9544877 |    1.00774 | 0.0075655004 |   1.256 |
|        -3.9332025 |  1.0067976 | 0.0075247616 |   1.251 |
|        -3.9119164 |  1.0029035 |  0.007496878 |   1.246 |
|         -3.890629 |  1.0054565 | 0.0076221028 |   1.242 |
|        -3.8693396 |  1.0041475 | 0.0076855352 |   1.237 |
|        -3.8480549 |  1.0055753 |  0.007882154 |   1.232 |
|        -3.8267708 |  1.0031864 | 0.0075813828 |   1.228 |
|        -3.8054845 |   1.003217 | 0.0076512372 |   1.223 |
|        -3.7841999 |   1.004326 |  0.007684722 |   1.219 |
|        -3.7629137 |   1.010582 |  0.007595326 |   1.214 |
|         -3.741633 |  1.0063173 | 0.0076438072 |    1.21 |
|        -3.7203483 |  1.0106535 | 0.0076941608 |   1.206 |
|        -3.6990596 |  1.0035493 | 0.0076566912 |   1.201 |
|        -3.6777688 |  1.0023735 | 0.0076748656 |   1.197 |
|        -3.6351994 |  1.0083946 | 0.0075885696 |   1.189 |
|        -3.6139144 |  1.0021187 | 0.0074905004 |   1.185 |
|        -3.5926299 |   1.002735 | 0.0076498748 |   1.181 |
|        -3.5713435 |  1.0016988 | 0.0075778368 |   1.177 |
