| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 |   1.005906 |  0.007052822 |   1.416 |
|        -4.4866787 |  1.0067669 |   0.00701739 |   1.408 |
|        -4.4653956 |  1.0028047 | 0.0069614736 |   1.401 |
|        -4.4441073 |   1.000303 |   0.00697396 |   1.394 |
|        -4.4228128 |  1.0054258 | 0.0071019136 |   1.387 |
|        -4.4015156 |  1.0071465 | 0.0069450792 |    1.38 |
|        -4.3802279 |  1.0063281 | 0.0069359548 |   1.373 |
|        -4.3589434 |  1.0066549 |  0.006985668 |   1.366 |
|        -4.3376587 |  1.0116906 | 0.0070652672 |    1.36 |
|        -4.3163706 |  1.0032659 | 0.0071165796 |   1.353 |
|        -4.2950823 |  1.0001739 | 0.0072883204 |   1.347 |
|        -4.2737971 |  1.0079394 | 0.0073571696 |   1.341 |
|         -4.252515 |  1.0044366 |   0.00728504 |   1.334 |
|        -4.2312308 |  1.0020243 | 0.0069373164 |   1.328 |
|        -4.2099406 |  1.0036225 | 0.0069955652 |   1.322 |
|        -4.1886509 |   1.007881 | 0.0069381412 |   1.316 |
|        -4.1673621 |  1.0011693 | 0.0068178072 |    1.31 |
|        -4.1460789 |  1.0039056 |  0.006779144 |   1.305 |
|        -4.1247933 |  1.0040783 | 0.0068042668 |   1.299 |
|        -4.1035074 |  1.0031093 | 0.0067677488 |   1.293 |
|        -4.0822223 |   1.001492 | 0.0067967364 |   1.288 |
|        -4.0609334 |  1.0080102 |  0.006783606 |   1.282 |
|        -4.0396478 |  1.0069159 | 0.0068258272 |   1.277 |
|          -4.01836 |  1.0064891 | 0.0068228508 |   1.272 |
|        -3.9970688 |  1.0089974 | 0.0068231628 |   1.266 |
|        -3.9757763 |  1.0027549 | 0.0068053796 |   1.261 |
|        -3.9544877 |  1.0033748 | 0.0068005668 |   1.256 |
|        -3.9332025 |  1.0029924 | 0.0067745216 |   1.251 |
|        -3.9119164 |  1.0024141 |  0.006737918 |   1.246 |
|         -3.890629 |  1.0048997 |  0.006864814 |   1.242 |
|        -3.8693396 |  1.0036842 | 0.0069127336 |   1.237 |
|        -3.8480549 |  1.0052232 | 0.0070653836 |   1.232 |
|        -3.8267708 |  1.0064482 | 0.0068960868 |   1.228 |
