| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 | 0.99594549 | 0.0078183416 |   1.416 |
|        -4.4866787 |  1.0013809 |   0.00776774 |   1.408 |
|        -4.4653956 | 0.98788642 |    0.0076548 |   1.401 |
|        -4.4441073 | 0.99338219 | 0.0077505216 |   1.394 |
|        -4.4228128 | 0.99778816 | 0.0077980076 |   1.387 |
|        -4.4015156 | 0.99274835 | 0.0076713648 |    1.38 |
|        -4.3802279 | 0.99627377 | 0.0076956076 |   1.373 |
|        -4.3589434 | 0.99379725 |  0.007709504 |   1.366 |
|        -4.3376587 | 0.99588423 | 0.0077257996 |    1.36 |
|        -4.3163706 | 0.99865636 | 0.0078592568 |   1.353 |
|        -4.2950823 | 0.99083378 | 0.0079843408 |   1.347 |
|        -4.2737971 | 0.99660472 | 0.0080689732 |   1.341 |
|         -4.252515 |  1.0022848 |  0.008023068 |   1.334 |
|        -4.2312308 | 0.98837153 | 0.0076714164 |   1.328 |
|        -4.2099406 | 0.99770446 | 0.0077928816 |   1.322 |
|        -4.1886509 | 0.99665734 | 0.0076012924 |   1.316 |
|        -4.1673621 |  1.0041989 | 0.0076598176 |    1.31 |
|        -4.1460789 |  1.0033509 | 0.0075498936 |   1.305 |
|        -4.1247933 |  1.0011386 | 0.0075461192 |   1.299 |
|        -4.1035074 |  1.0004472 | 0.0075057008 |   1.293 |
|        -4.0822223 |  1.0077361 | 0.0075884376 |   1.288 |
|        -4.0609334 |  1.0101083 | 0.0075449316 |   1.282 |
|        -4.0396478 |   1.002995 | 0.0075606432 |   1.277 |
|          -4.01836 |  1.0040681 | 0.0075354304 |   1.272 |
|        -3.9970688 |  1.0070865 | 0.0075425916 |   1.266 |
|        -3.9757763 |  1.0082974 | 0.0075866288 |   1.261 |
|        -3.9544877 |  1.0124321 | 0.0076026272 |   1.256 |
|        -3.9332025 |  1.0103528 | 0.0075714336 |   1.251 |
|        -3.9119164 |  1.0069862 | 0.0075194404 |   1.246 |
|         -3.890629 |  1.0116572 | 0.0076562304 |   1.242 |
|        -3.8693396 |  1.0109835 | 0.0077129488 |   1.237 |
|        -3.8480549 |  1.0102648 | 0.0078754064 |   1.232 |
|        -3.8267708 |  1.0076685 |  0.007632306 |   1.228 |
|        -3.8054845 |  1.0150143 | 0.0077181248 |   1.223 |
|        -3.7841999 |  1.0076642 | 0.0076649748 |   1.219 |
|        -3.7629137 |  1.0150623 |  0.007620448 |   1.214 |
|         -3.741633 |  1.0131823 | 0.0077402284 |    1.21 |
|        -3.7203483 |  1.0113486 | 0.0076371468 |   1.206 |
|        -3.6990596 |  1.0172432 | 0.0077262728 |   1.201 |
|        -3.6777688 |  1.0146394 | 0.0076835412 |   1.197 |
|        -3.6564842 |  1.0245625 | 0.0116530984 |   1.193 |
|        -3.6351994 |  1.0155099 | 0.0076302136 |   1.189 |
|        -3.6139144 |  1.0160523 |  0.007532668 |   1.185 |
|        -3.5926299 |  1.0121913 | 0.0076176508 |   1.181 |
|        -3.5713435 |  1.0111738 | 0.0075968336 |   1.177 |
|         -3.550055 |  1.0110908 | 0.0077161356 |   1.173 |
|         -3.528766 |  1.0134491 | 0.0077483188 |    1.17 |
