| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 |   1.003754 | 0.0127226664 |   1.416 |
|        -4.4866787 |  1.0053829 |   0.01246447 |   1.408 |
|        -4.4653956 | 0.99816295 |  0.012336172 |   1.401 |
|        -4.4441073 |  1.0016154 | 0.0124502848 |   1.394 |
|        -4.4228128 |  1.0132609 | 0.0125196008 |   1.387 |
|        -4.4015156 | 0.98564437 | 0.0118978136 |    1.38 |
|        -4.3802279 |  1.0108968 | 0.0123239788 |   1.373 |
|        -4.3589434 |   1.005729 | 0.0123715668 |   1.366 |
|        -4.3376587 |  0.9990307 | 0.0123038892 |    1.36 |
|        -4.3163706 |  1.0007659 |  0.012372234 |   1.353 |
|        -4.2950823 |  1.0084431 |   0.01283353 |   1.347 |
|        -4.2737971 | 0.99865732 |  0.012764804 |   1.341 |
|         -4.252515 | 0.99505318 |  0.012625794 |   1.334 |
|        -4.2312308 | 0.97453018 | 0.0121378064 |   1.328 |
|        -4.2099406 |  1.0092749 | 0.0122353056 |   1.322 |
|        -4.1886509 | 0.99138785 |  0.011720128 |   1.316 |
|        -4.1673621 |  1.0009347 | 0.0118673848 |    1.31 |
|        -4.1460789 |   1.026454 | 0.0118818924 |   1.305 |
|        -4.1247933 |  1.0032777 | 0.0116400212 |   1.299 |
|        -4.1035074 |  1.0063386 | 0.0117433256 |   1.293 |
|        -4.0822223 |  1.0060052 |  0.011737638 |   1.288 |
|        -4.0609334 |  1.0092819 | 0.0116297824 |   1.282 |
|        -4.0396478 |  1.0089231 | 0.0116287096 |   1.277 |
|          -4.01836 |  1.0054769 | 0.0116425356 |   1.272 |
|        -3.9970688 |  1.0169377 | 0.0116657036 |   1.266 |
|        -3.9757763 |  1.0065539 |  0.011690046 |   1.261 |
|        -3.9544877 |  1.0164815 |  0.011672978 |   1.256 |
|        -3.9332025 |  1.0035883 | 0.0116218884 |   1.251 |
|        -3.9119164 |  1.0100104 | 0.0114890256 |   1.246 |
|         -3.890629 |  1.0171269 | 0.0119595216 |   1.242 |
|        -3.8693396 |  1.0144293 | 0.0120170064 |   1.237 |
|        -3.8480549 | 0.99966203 | 0.0122396248 |   1.232 |
|        -3.8267708 |  1.0021498 |  0.011886662 |   1.228 |
|        -3.8054845 |  1.0088097 | 0.0119773668 |   1.223 |
|        -3.7841999 |  1.0052686 | 0.0119416136 |   1.219 |
|        -3.7629137 |  1.0103736 | 0.0117185072 |   1.214 |
|         -3.741633 |  1.0103292 |  0.011967718 |    1.21 |
|        -3.7203483 |  1.0104391 | 0.0118608684 |   1.206 |
|        -3.6990596 |  1.0086624 | 0.0118956884 |   1.201 |
|        -3.6777688 |  1.0038287 | 0.0118946156 |   1.197 |
|        -3.6564842 |  1.0230856 |  0.018041538 |   1.193 |
|        -3.6351994 |  1.0067571 | 0.0117281616 |   1.189 |
|        -3.6139144 |  1.0078597 | 0.0114958944 |   1.185 |
