| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 |  1.0118004 |  0.019438092 |   1.416 |
|        -4.4866787 |  1.0111591 | 0.0189230172 |   1.408 |
|        -4.4653956 |  1.0033128 |  0.018731878 |   1.401 |
|        -4.4441073 |  1.0144998 | 0.0185886584 |   1.394 |
|        -4.4228128 |  1.0098689 | 0.0188566452 |   1.387 |
|        -4.4015156 | 0.97190057 | 0.0182275408 |    1.38 |
|        -4.3802279 |  1.0067613 |  0.018300864 |   1.373 |
|        -4.3589434 | 0.99870167 | 0.0182403312 |   1.366 |
|        -4.3376587 |  1.0072397 |   0.01861796 |    1.36 |
|        -4.3163706 | 0.99856947 | 0.0186252496 |   1.353 |
|        -4.2950823 |  1.0146447 |  0.019131784 |   1.347 |
|        -4.2737971 | 0.99948275 |  0.018989452 |   1.341 |
|         -4.252515 | 0.99024609 | 0.0187528512 |   1.334 |
|        -4.2312308 | 0.98162917 | 0.0180832416 |   1.328 |
|        -4.2099406 |  1.0047458 | 0.0180186904 |   1.322 |
|        -4.1886509 |  0.9830852 | 0.0174190228 |   1.316 |
|        -4.1673621 |  1.0092037 | 0.0175378352 |    1.31 |
|        -4.1460789 |  1.0190874 | 0.0176100536 |   1.305 |
|        -4.1247933 | 0.99340501 | 0.0172444284 |   1.299 |
|        -4.1035074 |  1.0224224 | 0.0177193612 |   1.293 |
|        -4.0822223 |  1.0041504 | 0.0173372032 |   1.288 |
|        -4.0609334 |  1.0068564 | 0.0171603016 |   1.282 |
|        -4.0396478 |  1.0168684 | 0.0172924404 |   1.277 |
|          -4.01836 |  1.0134738 | 0.0172870376 |   1.272 |
|        -3.9970688 |  1.0168501 | 0.0173703296 |   1.266 |
|        -3.9757763 |  1.0165262 | 0.0171879348 |   1.261 |
|        -3.9544877 |  1.0122417 | 0.0174425584 |   1.256 |
|        -3.9332025 |  1.0086022 |  0.017135402 |   1.251 |
|        -3.9119164 |  1.0007935 | 0.0170457464 |   1.246 |
|         -3.890629 |  1.0107983 |  0.017341592 |   1.242 |
|        -3.8693396 |  1.0172126 | 0.0173691576 |   1.237 |
|        -3.8480549 |  1.0210939 | 0.0179792852 |   1.232 |
|        -3.8267708 |  1.0092183 | 0.0171857972 |   1.228 |
|        -3.8054845 |  1.0068898 | 0.0173665764 |   1.223 |
