| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 | 0.99305992 | 0.0093945108 |   1.416 |
|        -4.4866787 | 0.99483147 |  0.009286766 |   1.408 |
|        -4.4653956 | 0.99012798 | 0.0092406796 |   1.401 |
|        -4.4441073 | 0.99279818 | 0.0092156808 |   1.394 |
|        -4.4228128 | 0.99239506 | 0.0092419212 |   1.387 |
|        -4.4015156 | 0.99271809 | 0.0090744268 |    1.38 |
|        -4.3802279 |  0.9899344 |  0.009103374 |   1.373 |
|        -4.3589434 | 0.98943303 | 0.0090944312 |   1.366 |
|        -4.3376587 | 0.99256945 |  0.009294846 |    1.36 |
|        -4.2950823 |  0.9880278 |  0.009442294 |   1.347 |
|        -4.2737971 | 0.99759502 |  0.009522856 |   1.341 |
|         -4.252515 | 0.99585767 | 0.0094883436 |   1.334 |
|        -4.2312308 | 0.98555782 |   0.00907607 |   1.328 |
|        -4.2099406 |   0.989807 | 0.0091631576 |   1.322 |
|        -4.1886509 | 0.99440979 | 0.0090095124 |   1.316 |
|        -4.1673621 | 0.99395565 |  0.009124926 |    1.31 |
|        -4.1460789 |   1.001826 |  0.008981704 |   1.305 |
|        -4.1247933 | 0.99449651 | 0.0088331292 |   1.299 |
|        -4.1035074 | 0.99883218 | 0.0089598652 |   1.293 |
|        -4.0822223 |  1.0049347 | 0.0089916772 |   1.288 |
|        -4.0609334 |   1.013998 | 0.0089650132 |   1.282 |
|        -4.0396478 |  1.0034711 |  0.008940738 |   1.277 |
|          -4.01836 |  1.0035558 | 0.0089473868 |   1.272 |
|        -3.9970688 |  1.0046843 | 0.0089112152 |   1.266 |
|        -3.9757763 |  1.0033931 |   0.00893372 |   1.261 |
|        -3.9544877 |  1.0106264 |  0.009007806 |   1.256 |
|        -3.9332025 |  1.0064171 |  0.008926266 |   1.251 |
|        -3.9119164 |  1.0031845 | 0.0088872588 |   1.246 |
|         -3.890629 |  1.0073749 | 0.0090555356 |   1.242 |
|        -3.8693396 |  1.0013226 | 0.0090472776 |   1.237 |
|        -3.8480549 |  1.0086727 | 0.0092309248 |   1.232 |
|        -3.8267708 |  1.0016048 |  0.008976144 |   1.228 |
|        -3.8054845 |  1.0022855 |  0.009068118 |   1.223 |
|        -3.7841999 |  1.0077507 |  0.009066012 |   1.219 |
|        -3.7629137 |  1.0049012 |    0.0089515 |   1.214 |
|         -3.741633 |  1.0115787 | 0.0091305612 |    1.21 |
|        -3.7203483 |   1.007107 | 0.0090476232 |   1.206 |
|        -3.6990596 |  1.0194748 | 0.0091761404 |   1.201 |
|        -3.6777688 |  1.0132442 | 0.0090547888 |   1.197 |
|        -3.6564842 |  1.0181128 | 0.0139028032 |   1.193 |
|        -3.6351994 |  1.0116744 | 0.0089851748 |   1.189 |
|        -3.6139144 |  1.0138206 |  0.008980734 |   1.185 |
|        -3.5926299 |  1.0190586 |  0.009044784 |   1.181 |
|        -3.5713435 |  1.0020624 | 0.0089053996 |   1.177 |
|         -3.550055 |  1.0071123 |   0.00914454 |   1.173 |
|         -3.528766 |  1.0056212 | 0.0090865208 |    1.17 |
|         -3.507487 |  1.0080599 | 0.0092818216 |   1.166 |
|        -3.4862004 |  1.0134097 | 0.0091345784 |   1.162 |
|        -3.4649138 |  1.0091485 | 0.0089223744 |   1.159 |
|        -3.4436293 |  1.0028049 |  0.009044088 |   1.155 |
|        -3.4223535 |  1.0091958 | 0.0091741368 |   1.152 |
