| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 |  1.0039872 | 0.0073783244 |   1.416 |
|        -4.4866787 |  1.0012448 | 0.0074550624 |   1.408 |
|        -4.4653956 |  1.0113142 | 0.0075116048 |   1.401 |
|        -4.4441073 |  1.0105483 | 0.0076340824 |   1.394 |
|        -4.4228128 |  0.9958874 | 0.0074727236 |   1.387 |
|        -4.4015156 |   1.002796 |  0.007419812 |    1.38 |
|        -4.3802279 |  1.0046665 | 0.0073791372 |   1.373 |
|        -4.3589434 |  1.0031739 | 0.0074619484 |   1.366 |
|        -4.3376587 |  1.0092034 |  0.007516984 |    1.36 |
|        -4.3163706 |  1.0089017 | 0.0076660564 |   1.353 |
|        -4.2950823 |  1.0045938 | 0.0076577368 |   1.347 |
|         -4.252515 | 0.99790786 | 0.0077375076 |   1.334 |
|        -4.2312308 |  1.0034502 |  0.007405046 |   1.328 |
|        -4.2099406 |   1.000073 | 0.0074267692 |   1.322 |
|        -4.1886509 |  1.0132714 | 0.0075094372 |   1.316 |
|        -4.1673621 |  1.0069219 | 0.0073154448 |    1.31 |
|        -4.1460789 |  1.0058197 | 0.0071922068 |   1.305 |
|        -4.1247933 |  1.0003495 | 0.0071348164 |   1.299 |
|        -4.1035074 |   1.002086 | 0.0070680396 |   1.293 |
|        -4.0822223 | 0.99965979 | 0.0071045428 |   1.288 |
|        -4.0609334 |  1.0039048 | 0.0070940724 |   1.282 |
|        -4.0396478 |  1.0097709 | 0.0071710568 |   1.277 |
|          -4.01836 |  1.0048822 | 0.0071756116 |   1.272 |
|        -3.9970688 |  1.0112997 | 0.0071738064 |   1.266 |
|        -3.9757763 |  1.0093664 |   0.00723205 |   1.261 |
|        -3.9544877 |  1.0094466 | 0.0071948608 |   1.256 |
|        -3.9332025 |  1.0084578 | 0.0071854632 |   1.251 |
|        -3.9119164 |   1.008086 | 0.0070981944 |   1.246 |
|         -3.890629 |  1.0041878 | 0.0072891772 |   1.242 |
|        -3.8693396 |  1.0041107 | 0.0073710028 |   1.237 |
|        -3.8480549 |  1.0137228 | 0.0075851648 |   1.232 |
|        -3.8267708 |  1.0123776 |  0.007330344 |   1.228 |
|        -3.8054845 |  1.0089297 |  0.007465966 |   1.223 |
|        -3.7841999 |  1.0025937 | 0.0073535872 |   1.219 |
|        -3.7629137 |  1.0171278 | 0.0073594204 |   1.214 |
|         -3.741633 |  1.0057584 | 0.0074123648 |    1.21 |
|        -3.7203483 |   1.010678 |  0.007338532 |   1.206 |
|        -3.6990596 |  1.0057729 | 0.0073273976 |   1.201 |
|        -3.6777688 |  1.0067285 |   0.00738201 |   1.197 |
|        -3.6564842 |  1.0214242 | 0.0110020252 |   1.193 |
|        -3.6351994 |  1.0043866 | 0.0072970472 |   1.189 |
|        -3.6139144 |   1.007729 | 0.0072389216 |   1.185 |
|        -3.5926299 |  1.0067668 | 0.0073664136 |   1.181 |
|        -3.5713435 |  1.0086607 |  0.007364582 |   1.177 |
|         -3.550055 |  1.0156193 | 0.0076217176 |   1.173 |
|         -3.528766 |  1.0110105 |  0.007510886 |    1.17 |
|         -3.507487 |  1.0065687 |  0.007624046 |   1.166 |
|        -3.4862004 |  1.0043333 | 0.0074410636 |   1.162 |
|        -3.4649138 |  1.0101875 | 0.0073270504 |   1.159 |
|        -3.4436293 |  1.0148937 | 0.0075897948 |   1.155 |
|        -3.4223535 |  1.0093188 | 0.0075426848 |   1.152 |
|        -3.4010635 |  1.0119163 | 0.0073827416 |   1.148 |
|        -3.3797848 |  1.0181375 | 0.0075705364 |   1.145 |
|        -3.3584981 |  1.0138431 |   0.00736391 |   1.142 |
|        -3.3372108 |  1.0140394 |  0.007183046 |   1.139 |
|        -3.3159238 |   1.007935 | 0.0071827284 |   1.135 |
|        -3.2946643 |  1.0052392 | 0.0072794336 |   1.132 |
|        -3.2733795 |  1.0092183 | 0.0073624644 |   1.129 |
|        -3.2520884 |  1.0110192 | 0.0073282204 |   1.126 |
|        -3.2307875 |   1.005123 | 0.0074400384 |   1.123 |
|        -3.2095167 |  1.0074789 |  0.007283348 |    1.12 |
|        -3.1882283 |  1.0119516 | 0.0074177952 |   1.117 |
|        -3.1669402 |  1.0062361 | 0.0073825868 |   1.114 |
|        -3.1456558 |  1.0088861 | 0.0073268564 |   1.111 |
|        -3.1243688 |  1.0127108 | 0.0073226204 |   1.109 |
|        -3.1030767 |  1.0099765 | 0.0074189464 |   1.106 |
|        -3.0817351 |  1.0057786 | 0.0073301008 |   1.103 |
|        -3.0604299 |   1.017226 | 0.0074437268 |   1.101 |
|          -3.03914 |  1.0072048 | 0.0073877812 |   1.098 |
|        -3.0178195 |  1.0137096 | 0.0075463192 |   1.095 |
|        -2.9965365 | 0.99943655 | 0.0073189336 |   1.093 |
|        -2.9752419 |  1.0119113 |   0.00742635 |    1.09 |
|        -2.9539556 |   1.004069 | 0.0072852556 |   1.088 |
|        -2.9326723 |  1.0055191 | 0.0073507632 |   1.086 |
|        -2.9113919 |  1.0040371 | 0.0073037528 |   1.083 |
|         -2.890105 |  1.0073993 | 0.0073262828 |   1.081 |
|          -2.86881 |  1.0011037 | 0.0074184536 |   1.079 |
|        -2.8475259 |  1.0019805 | 0.0073862044 |   1.076 |
|        -2.8262412 |  1.0124137 | 0.0074288032 |   1.074 |
|        -2.8049542 |  1.0040321 | 0.0074295472 |   1.072 |
|         -2.783667 |    1.00504 | 0.0072514576 |    1.07 |
|        -2.7623799 |   1.004997 |  0.007368492 |   1.068 |
|        -2.7410997 |  1.0052301 | 0.0073248496 |   1.066 |
|        -2.7198104 | 0.99887528 | 0.0074835768 |   1.064 |
|        -2.6985222 |  1.0113686 | 0.0075191188 |   1.062 |
|        -2.6772096 |  1.0089598 | 0.0073908332 |    1.06 |
|        -2.6559244 |  1.0069337 | 0.0073756512 |   1.058 |
|        -2.6346418 |  1.0117689 | 0.0074229636 |   1.056 |
|        -2.6133788 |  1.0014508 | 0.0074111808 |   1.055 |
|        -2.5920948 |  1.0086621 | 0.0075466792 |   1.053 |
|         -2.570812 |   1.012708 | 0.0074371584 |   1.051 |
|        -2.5494897 |  1.0058641 | 0.0073551388 |   1.049 |
|        -2.5282015 |  1.0008833 | 0.0073983004 |   1.048 |
|        -2.5069191 | 0.99966012 | 0.0074140408 |   1.046 |
|        -2.4856354 |  1.0009822 | 0.0073481016 |   1.044 |
|        -2.4643516 | 0.99901984 | 0.0072993356 |   1.043 |
|        -2.4430683 |  0.9996145 | 0.0073160912 |   1.041 |
|        -2.4217818 |  1.0029323 | 0.0073290204 |    1.04 |
|        -2.4004989 |  1.0127838 | 0.0073302096 |   1.038 |
|        -2.3792167 |  1.0022674 | 0.0072742896 |   1.037 |
|        -2.3579327 |  1.0058856 | 0.0074750508 |   1.036 |
|         -2.336646 |  1.0039352 | 0.0073370908 |   1.034 |
|        -2.3153603 |  1.0064493 | 0.0073392176 |   1.033 |
|         -2.294074 |  1.0095068 | 0.0073314384 |   1.032 |
|        -2.2727892 |  1.0004337 | 0.0073731824 |    1.03 |
|         -2.251503 |  1.0081172 | 0.0073428996 |   1.029 |
|        -2.2302154 |   1.003174 | 0.0072937044 |   1.028 |
|        -2.2089278 |  1.0077256 | 0.0073422948 |   1.027 |
|        -2.1876383 |  1.0100732 | 0.0074344656 |   1.026 |
|        -2.1663489 |  1.0108534 | 0.0075069544 |   1.024 |
|        -2.1450635 |  1.0034301 | 0.0074714908 |   1.023 |
|        -2.1237799 |  1.0021355 | 0.0074226696 |   1.022 |
|        -2.1024884 |  1.0059602 | 0.0074179664 |   1.021 |
|        -2.0811985 |  1.0010447 | 0.0073122628 |    1.02 |
|        -2.0599118 |  1.0067205 |  0.007371814 |   1.019 |
|        -2.0386263 |  1.0042733 |   0.00739314 |   1.018 |
|        -2.0173329 |  1.0031196 | 0.0073423864 |   1.018 |
|        -1.9960691 | 0.98807579 | 0.0072725224 |   1.017 |
|        -1.9747869 |  1.0045845 | 0.0073984972 |   1.016 |
|        -1.9534993 |   1.002994 | 0.0074669308 |   1.015 |
|        -1.9322144 |  1.0063091 |  0.007366658 |   1.014 |
|        -1.9109266 | 0.99835206 |  0.007355828 |   1.014 |
|        -1.8896425 |  1.0011523 | 0.0074055156 |   1.013 |
|        -1.8683515 |  1.0087287 | 0.0073254352 |   1.012 |
|        -1.8470625 |  1.0010391 | 0.0072029692 |   1.012 |
|        -1.8257635 |  1.0111122 | 0.0074151064 |   1.011 |
|        -1.8044778 |  1.0006857 | 0.0072713808 |    1.01 |
|        -1.7832113 |  1.0074318 | 0.0074057108 |    1.01 |
|        -1.7619204 |  1.0035157 | 0.0072965264 |   1.009 |
|        -1.7406241 |  1.0044172 | 0.0072445008 |   1.009 |
|        -1.7193345 |  1.0021353 | 0.0075535668 |   1.008 |
|        -1.6980541 |  1.0041041 | 0.0076359804 |   1.008 |
|        -1.6767681 |  1.0095445 | 0.0074039588 |   1.007 |
|        -1.6554749 |  1.0037662 | 0.0073141804 |   1.007 |
|        -1.6341845 |   1.003611 | 0.0072291716 |   1.007 |
|        -1.6128945 |   1.000494 | 0.0072255988 |   1.006 |
|        -1.5916034 |  1.0067333 | 0.0071989932 |   1.006 |
