| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 | 0.99262364 | 0.0067665852 |   1.416 |
|        -4.4866787 | 0.99423471 | 0.0067466308 |   1.408 |
|        -4.4653956 | 0.99814342 |  0.006699616 |   1.401 |
|        -4.4441073 | 0.99498015 | 0.0067878684 |   1.394 |
|        -4.4228128 |  1.0010665 |   0.00686479 |   1.387 |
|        -4.4015156 | 0.99254364 | 0.0066526392 |    1.38 |
|        -4.3802279 |  1.0029525 | 0.0067039348 |   1.373 |
|        -4.3589434 | 0.99426443 | 0.0066802296 |   1.366 |
|        -4.3376587 |   1.004919 | 0.0067698556 |    1.36 |
|        -4.3163706 | 0.99467742 |  0.006789422 |   1.353 |
|        -4.2950823 |  1.0055912 | 0.0070251692 |   1.347 |
|        -4.2737971 | 0.99910907 | 0.0070353416 |   1.341 |
|         -4.252515 | 0.99283865 | 0.0069594508 |   1.334 |
|        -4.2312308 | 0.99196143 |  0.006660308 |   1.328 |
|        -4.2099406 |  1.0008883 | 0.0067869768 |   1.322 |
|        -4.1886509 |  1.0040067 | 0.0067036676 |   1.316 |
|        -4.1673621 |  1.0046613 | 0.0065953976 |    1.31 |
|        -4.1460789 |  1.0021462 |  0.006516124 |   1.305 |
|        -4.1247933 | 0.99921429 | 0.0064522892 |   1.299 |
|        -4.1035074 |  1.0001474 | 0.0064542492 |   1.293 |
|        -4.0822223 |  1.0057066 | 0.0065552928 |   1.288 |
|        -4.0609334 |  1.0037089 |  0.006430706 |   1.282 |
|        -4.0396478 |  1.0036343 | 0.0064438888 |   1.277 |
|          -4.01836 |  1.0001469 | 0.0064699884 |   1.272 |
|        -3.9970688 |  1.0106092 | 0.0065105832 |   1.266 |
|        -3.9757763 |  1.0024047 | 0.0065079816 |   1.261 |
|        -3.9544877 |  1.0047449 | 0.0064915652 |   1.256 |
|        -3.9332025 |  1.0030871 |  0.006510664 |   1.251 |
|        -3.9119164 |  1.0037222 | 0.0064441788 |   1.246 |
|         -3.890629 |  1.0076293 | 0.0066318992 |   1.242 |
|        -3.8693396 |  1.0076085 | 0.0067331588 |   1.237 |
|        -3.8480549 |  1.0033851 | 0.0068267676 |   1.232 |
