| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 | 0.99790833 | 0.0087647912 |   1.416 |
|        -4.4866787 | 0.98662212 | 0.0085954384 |   1.408 |
|        -4.4653956 | 0.98865753 | 0.0086816612 |   1.401 |
|        -4.4441073 | 0.98734378 | 0.0086451544 |   1.394 |
|        -4.4228128 | 0.98999428 | 0.0087442572 |   1.387 |
|        -4.4015156 | 0.99226967 | 0.0085553824 |    1.38 |
|        -4.3802279 | 0.98793734 | 0.0085978396 |   1.373 |
|        -4.3589434 | 0.99834805 |  0.008709992 |   1.366 |
|        -4.3376587 | 0.99345148 | 0.0088057176 |    1.36 |
|        -4.3163706 | 0.99414995 | 0.0087593844 |   1.353 |
|        -4.2950823 | 0.97819835 |  0.009015796 |   1.347 |
|        -4.2737971 | 0.99735866 | 0.0091195036 |   1.341 |
|         -4.252515 |  1.0022615 | 0.0090745592 |   1.334 |
|        -4.2312308 | 0.99581354 | 0.0086312564 |   1.328 |
|        -4.2099406 | 0.99171202 |   0.00863595 |   1.322 |
|        -4.1886509 | 0.99605965 | 0.0085829328 |   1.316 |
|        -4.1673621 | 0.99364875 | 0.0085100396 |    1.31 |
|        -4.1460789 |  1.0028271 | 0.0084553824 |   1.305 |
|        -4.1247933 | 0.99514494 |  0.008419634 |   1.299 |
|        -4.1035074 |  0.9993302 | 0.0083688852 |   1.293 |
|        -4.0822223 |  1.0024237 | 0.0084618872 |   1.288 |
|        -4.0609334 |  1.0079084 | 0.0084517052 |   1.282 |
|        -4.0396478 |  1.0048081 |  0.008500418 |   1.277 |
|          -4.01836 |   1.004486 |  0.008440236 |   1.272 |
|        -3.9970688 |  1.0087676 | 0.0085025856 |   1.266 |
|        -3.9757763 |  1.0075642 | 0.0085423448 |   1.261 |
|        -3.9544877 |  1.0093618 | 0.0085394404 |   1.256 |
|        -3.9332025 |  1.0110187 |  0.008537946 |   1.251 |
|        -3.9119164 |  1.0091086 | 0.0084528188 |   1.246 |
|         -3.890629 |  1.0193195 |   0.00869881 |   1.242 |
|        -3.8693396 |  1.0050851 | 0.0086419716 |   1.237 |
|        -3.8480549 |   1.015425 | 0.0089052288 |   1.232 |
|        -3.8267708 |  1.0132939 | 0.0086132184 |   1.228 |
|        -3.8054845 |  1.0168304 | 0.0086460856 |   1.223 |
|        -3.7841999 |  1.0118314 | 0.0086163044 |   1.219 |
|        -3.7629137 |  1.0108119 | 0.0085524024 |   1.214 |
|         -3.741633 |  1.0147593 | 0.0086547372 |    1.21 |
|        -3.7203483 |  1.0204731 |  0.008605866 |   1.206 |
|        -3.6990596 |  1.0204058 | 0.0087243656 |   1.201 |
|        -3.6777688 |  1.0168234 | 0.0086663632 |   1.197 |
|        -3.6564842 |  1.0252532 | 0.0132480112 |   1.193 |
|        -3.6351994 |  1.0146044 |   0.00859538 |   1.189 |
|        -3.6139144 |  1.0180375 | 0.0084434016 |   1.185 |
|        -3.5926299 |  1.0165243 | 0.0085731428 |   1.181 |
|        -3.5713435 | 0.99744323 | 0.0084878372 |   1.177 |
|         -3.550055 |  1.0188727 | 0.0088355812 |   1.173 |
|         -3.528766 |  1.0151078 |  0.008753208 |    1.17 |
|         -3.507487 |  1.0111596 | 0.0088185276 |   1.166 |
|        -3.4862004 |  1.0085188 | 0.0086227964 |   1.162 |
|        -3.4649138 |  1.0181678 |  0.008510374 |   1.159 |
|        -3.4436293 |  1.0154288 |  0.008695016 |   1.155 |
|        -3.4223535 |  1.0110625 | 0.0087577796 |   1.152 |
|        -3.4010635 |  1.0170002 | 0.0086059528 |   1.148 |
|        -3.3797848 |  1.0152101 | 0.0085987184 |   1.145 |
|        -3.3584981 |  1.0156788 | 0.0085768868 |   1.142 |
|        -3.3372108 |  1.0123877 | 0.0084898824 |   1.139 |
|        -3.3159238 |  1.0148345 | 0.0083821156 |   1.135 |
|        -3.2946643 |  1.0103643 | 0.0084028092 |   1.132 |
|        -3.2733795 |  1.0185157 | 0.0085657892 |   1.129 |
|        -3.2520884 |  1.0093914 | 0.0084531892 |   1.126 |
|        -3.2307875 |   1.008575 | 0.0085767072 |   1.123 |
|        -3.2095167 |  1.0115527 | 0.0085341892 |    1.12 |
|        -3.1882283 |  1.0148397 | 0.0085908656 |   1.117 |
|        -3.1669402 |  1.0064054 |  0.008590046 |   1.114 |
|        -3.1456558 |  1.0016714 | 0.0084526924 |   1.111 |
|        -3.1243688 |  1.0145296 | 0.0085065372 |   1.109 |
|        -3.1030767 |  1.0068381 |  0.008501098 |   1.106 |
|        -3.0817351 |  1.0124141 |  0.008534038 |   1.103 |
|        -3.0604299 |  1.0178867 | 0.0085806756 |   1.101 |
|          -3.03914 |  1.0172942 | 0.0086521952 |   1.098 |
|        -3.0178195 |  1.0161584 | 0.0086674392 |   1.095 |
|        -2.9965365 |  1.0089428 |  0.008582768 |   1.093 |
|        -2.9752419 |  1.0038937 |  0.008496234 |    1.09 |
|        -2.9539556 |  1.0389111 | 0.0089070528 |   1.088 |
|        -2.9326723 |  1.0095813 | 0.0085247832 |   1.086 |
|        -2.9113919 |  1.0061597 | 0.0084818268 |   1.083 |
|         -2.890105 |  1.0007397 | 0.0085075372 |   1.081 |
|          -2.86881 |  1.0042663 | 0.0086288124 |   1.079 |
|        -2.8475259 |  1.0007544 | 0.0085461392 |   1.076 |
|        -2.8262412 |  1.0023016 | 0.0086071176 |   1.074 |
|        -2.8049542 | 0.99578981 | 0.0085710944 |   1.072 |
|         -2.783667 |  1.0124315 | 0.0085615036 |    1.07 |
|        -2.7623799 |  1.0081666 |  0.008602728 |   1.068 |
|        -2.7410997 |  1.0069701 | 0.0085592056 |   1.066 |
|        -2.7198104 |  1.0115103 | 0.0086364596 |   1.064 |
|        -2.6985222 |  1.0094623 |   0.00869059 |   1.062 |
|        -2.6772096 |   1.004452 | 0.0085549156 |    1.06 |
|        -2.6559244 |  1.0074619 | 0.0085700836 |   1.058 |
|        -2.6346418 |  1.0066555 | 0.0086154548 |   1.056 |
|        -2.6133788 |  1.0050555 | 0.0086668648 |   1.055 |
|        -2.5920948 |   1.009955 |  0.008877434 |   1.053 |
|         -2.570812 |  1.0132866 | 0.0086026608 |   1.051 |
|        -2.5494897 |  1.0059342 |  0.008480378 |   1.049 |
|        -2.5282015 |  1.0095725 | 0.0086142372 |   1.048 |
