| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 |  1.0074728 | 0.0088245764 |   1.416 |
|        -4.4866787 |  1.0066551 | 0.0087576356 |   1.408 |
|        -4.4653956 |  1.0094389 | 0.0087807528 |   1.401 |
|        -4.4441073 |  1.0026598 |  0.008760568 |   1.394 |
|        -4.4228128 | 0.99869782 |   0.00879343 |   1.387 |
|        -4.4015156 |  1.0026784 | 0.0086083076 |    1.38 |
|        -4.3802279 |  1.0111922 | 0.0087474228 |   1.373 |
|        -4.3589434 |  1.0173914 | 0.0088821884 |   1.366 |
|        -4.3376587 |  1.0100305 |  0.008866794 |    1.36 |
|        -4.3163706 |  1.0054575 | 0.0090127132 |   1.353 |
|        -4.2950823 |  1.0103019 |  0.009297868 |   1.347 |
|        -4.2737971 |  1.0100874 | 0.0094146664 |   1.341 |
|         -4.252515 |  1.0025187 | 0.0092481768 |   1.334 |
|        -4.2312308 |  1.0056463 | 0.0087581476 |   1.328 |
|        -4.2099406 |  1.0001389 | 0.0087100884 |   1.322 |
|        -4.1886509 |  1.0017697 | 0.0086589868 |   1.316 |
|        -4.1673621 |  1.0025286 | 0.0086223628 |    1.31 |
|        -4.1460789 |  1.0019091 | 0.0084776828 |   1.305 |
|        -4.1247933 |  1.0053909 | 0.0085827348 |   1.299 |
|        -4.1035074 |  1.0055011 | 0.0084902572 |   1.293 |
|        -4.0822223 |  1.0067696 | 0.0085691752 |   1.288 |
|        -4.0609334 |  1.0001808 | 0.0084092324 |   1.282 |
|        -4.0396478 |  1.0033315 | 0.0084830148 |   1.277 |
|          -4.01836 |  1.0050078 |  0.008564198 |   1.272 |
|        -3.9970688 |  1.0112093 | 0.0085315944 |   1.266 |
|        -3.9757763 |  1.0032072 | 0.0084538232 |   1.261 |
|        -3.9544877 |  1.0078652 | 0.0084712168 |   1.256 |
|        -3.9332025 |  1.0080696 | 0.0084785448 |   1.251 |
|        -3.9119164 |  1.0025301 |   0.00836323 |   1.246 |
|         -3.890629 |  1.0071689 | 0.0085752672 |   1.242 |
|        -3.8693396 |  1.0069325 | 0.0086685376 |   1.237 |
|        -3.8480549 |  1.0106529 | 0.0088765948 |   1.232 |
|        -3.8267708 |   1.012876 | 0.0085725704 |   1.228 |
|        -3.8054845 |  1.0054859 |  0.008600658 |   1.223 |
|        -3.7841999 |  1.0074233 | 0.0085877156 |   1.219 |
|        -3.7629137 |  1.0044243 | 0.0084435684 |   1.214 |
|         -3.741633 |  1.0075963 |   0.00862328 |    1.21 |
|        -3.7203483 |  1.0151087 | 0.0086324708 |   1.206 |
|        -3.6990596 |  1.0055073 | 0.0085791968 |   1.201 |
|        -3.6777688 |  1.0014807 | 0.0085449156 |   1.197 |
|        -3.6351994 |  1.0087937 | 0.0085168972 |   1.189 |
|        -3.6139144 |  1.0042641 |  0.008418164 |   1.185 |
|        -3.5926299 |  1.0040383 | 0.0086022616 |   1.181 |
|        -3.5713435 |  1.0097821 | 0.0085656356 |   1.177 |
|         -3.550055 |  1.0081754 | 0.0087175576 |   1.173 |
|         -3.528766 |  1.0006208 | 0.0085345556 |    1.17 |
|         -3.507487 |  1.0125469 | 0.0088108872 |   1.166 |
|        -3.4862004 |  1.0074957 | 0.0085638796 |   1.162 |
|        -3.4649138 |  1.0036669 |   0.00834874 |   1.159 |
|        -3.4436293 |  1.0079937 | 0.0086709032 |   1.155 |
|        -3.4223535 |  1.0068252 | 0.0086564588 |   1.152 |
|        -3.4010635 | 0.99538322 | 0.0083909596 |   1.148 |
|        -3.3797848 |  1.0092162 |  0.008513062 |   1.145 |
|        -3.3584981 |   1.002886 | 0.0083308748 |   1.142 |
|        -3.3372108 |  1.0063935 |  0.008232794 |   1.139 |
|        -3.3159238 |  1.0049669 |  0.008243438 |   1.135 |
|        -3.2946643 | 0.99700307 | 0.0082918632 |   1.132 |
|        -3.2733795 |  1.0102281 | 0.0084426452 |   1.129 |
|        -3.2520884 |  1.0038907 | 0.0083361196 |   1.126 |
|        -3.2307875 |  1.0022603 | 0.0084439156 |   1.123 |
|        -3.2095167 |  1.0135932 | 0.0085223348 |    1.12 |
|        -3.1882283 |  1.0108867 | 0.0084963356 |   1.117 |
|        -3.1669402 |  1.0039102 |  0.008524344 |   1.114 |
|        -3.1456558 |  1.0010462 | 0.0084295024 |   1.111 |
|        -3.1243688 |  1.0039116 | 0.0083800492 |   1.109 |
|        -3.1030767 |  1.0072219 |   0.00844056 |   1.106 |
|        -3.0817351 |  1.0068532 | 0.0084108648 |   1.103 |
|        -3.0604299 |  1.0027854 | 0.0083779036 |   1.101 |
|          -3.03914 |  1.0074691 | 0.0084282112 |   1.098 |
|        -3.0178195 |  1.0078005 |  0.008540908 |   1.095 |
|        -2.9965365 |  1.0002117 | 0.0083290492 |   1.093 |
|        -2.9752419 |  1.0090667 | 0.0084150004 |    1.09 |
|        -2.9539556 |  1.0081072 | 0.0084035968 |   1.088 |
|        -2.9326723 |  1.0102204 | 0.0084118636 |   1.086 |
|        -2.9113919 |  1.0036819 | 0.0083164892 |   1.083 |
|         -2.890105 | 0.99586268 | 0.0082771448 |   1.081 |
|          -2.86881 |  0.9973072 | 0.0084107468 |   1.079 |
|        -2.8475259 |  1.0023517 | 0.0083824484 |   1.076 |
|        -2.8262412 |  1.0048284 | 0.0083937668 |   1.074 |
|        -2.8049542 | 0.99866059 | 0.0083983012 |   1.072 |
|         -2.783667 |  1.0068038 | 0.0083853444 |    1.07 |
|        -2.7623799 |  1.0009195 | 0.0084112512 |   1.068 |
|        -2.7410997 |   1.001103 |  0.008391572 |   1.066 |
|        -2.7198104 | 0.99470996 | 0.0084538008 |   1.064 |
|        -2.6985222 |  0.9942128 |  0.008481124 |   1.062 |
|        -2.6772096 |  1.0091537 | 0.0084989056 |    1.06 |
|        -2.6559244 |  1.0008839 | 0.0083572824 |   1.058 |
|        -2.6346418 |  1.0066068 | 0.0084416816 |   1.056 |
